rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
43,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,33221,1,101,ARE,2024-03-07,4Dvkj6JhhA12EX05fT7y2e
44,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,32787,1,65,ARE,2024-03-07,1Qrg8KqiBpW07V7PNxwwwL
45,spotify:track:3h5TiWTqGxjSjFrbruPFH9,YG Marley,Praise Jah In The Moonlight,YG Marley Music,31762,37,5,ARE,2024-03-07,3h5TiWTqGxjSjFrbruPFH9
46,spotify:track:5PyDJG7SQRgWXefgexqIge,Doja Cat,Agora Hills,Kemosabe Records/RCA Records,31748,7,24,ARE,2024-03-07,5PyDJG7SQRgWXefgexqIge
47,spotify:track:2n0OFvWzkojBD1kVIOeGqe,"Juan Caoile, Kyleswish, Jawz",Marikit Sa Dilim,Viva Records,31609,44,3,ARE,2024-03-07,2n0OFvWzkojBD1kVIOeGqe
48,spotify:track:3U5JVgI2x4rDyHGObzJfNf,Natasha Bedingfield,Unwritten,Sony Music CG,31220,36,6,ARE,2024-03-07,3U5JVgI2x4rDyHGObzJfNf
49,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,31215,3,17,ARE,2024-03-07,2KslE17cAJNHTsI2MI0jb2
50,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,31103,50,10,ARE,2024-03-07,0mflMxspEfB0VbI1kyLiAv
1,spotify:track:3w0w2T288dec0mgeZZqoNN,"¥$, Kanye West, Ty Dolla $ign",CARNIVAL,Ye,95562,1,3,ARE,2024-02-29,3w0w2T288dec0mgeZZqoNN
2,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,93508,1,24,ARE,2024-02-29,3rUGC1vUpkDG9CZFHMur1t
3,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,87490,2,64,ARE,2024-02-29,1BxfuPKGuaTgP7aM0Bbdwr
4,spotify:track:1VNWdmXSbaNrnWod10WIL0,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",Universal Republic Records,81430,2,28,ARE,2024-02-29,1VNWdmXSbaNrnWod10WIL0
5,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,69288,2,24,ARE,2024-02-29,3vkCueOmm7xQDoJ17W1Pm3
6,spotify:track:52eIcoLUM25zbQupAZYoFh,21 Savage,redrum,"Slaughter Gang, LLC/Epic Records",66030,5,7,ARE,2024-02-29,52eIcoLUM25zbQupAZYoFh
7,spotify:track:7GUhiAHLoVy1V8ucQuZ3CB,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna),Universal Republic Records,65662,2,39,ARE,2024-02-29,7GUhiAHLoVy1V8ucQuZ3CB
8,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",59376,8,5,ARE,2024-02-29,6tNQ70jh4OwmPGpYy6R2o9
9,spotify:track:5aIVCx5tnk0ntmdiinnYvw,Tyla,Water,FAX Records/Epic,57247,5,24,ARE,2024-02-29,5aIVCx5tnk0ntmdiinnYvw
10,spotify:track:7AYmToZ5y67fBjq4RLFbuq,Beyoncé,TEXAS HOLD 'EM,Parkwood Entertainment/Columbia,56936,10,3,ARE,2024-02-29,7AYmToZ5y67fBjq4RLFbuq
11,spotify:track:0M0ANKNzmM4Odd7FNKghzW,Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",T-Series,55215,10,5,ARE,2024-02-29,0M0ANKNzmM4Odd7FNKghzW
12,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,54486,4,16,ARE,2024-02-29,4xhsWYTOGcal8zt0J161CU
13,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,54481,4,31,ARE,2024-02-29,42VsgItocQwOQC3XWZ8JNA
14,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,53928,14,2,ARE,2024-02-29,3qhlB30KknSejmIvZZLjOD
