rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
32,spotify:track:5FxasBmho2yEvgXrzp9MMW,G-DRAGON,"무제(無題) (Untitled, 2014)",YG Entertainment,129158,22,16,KOR,2025-01-30,5FxasBmho2yEvgXrzp9MMW
33,spotify:track:3TSLqZssCoCdDlMhCJ08XW,BIGBANG,Still Life,YG Entertainment,123709,1,63,KOR,2025-01-30,3TSLqZssCoCdDlMhCJ08XW
34,spotify:track:4xeugB5MqWh0jwvXZPxahq,WOODZ,Drowning,EDAM Entertainment,117921,34,17,KOR,2025-01-30,4xeugB5MqWh0jwvXZPxahq
35,spotify:track:3vnaEaDxMKdBhqA1t0uAwl,Lim Young Woong,Warmth,Mulgogi Music,115883,12,39,KOR,2025-01-30,3vnaEaDxMKdBhqA1t0uAwl
36,spotify:track:4WUpMUjdoi47LY7gBQBXe3,Lim Young Woong,Grain of Sand,물고기뮤직,115533,8,87,KOR,2025-01-30,4WUpMUjdoi47LY7gBQBXe3
37,spotify:track:2PlsVMcOn6ujc2UEYs2Yat,Lim Young Woong,Home,Mulgogi Music,114774,13,39,KOR,2025-01-30,2PlsVMcOn6ujc2UEYs2Yat
38,spotify:track:1aKvZDoLGkNMxoRYgkckZG,ILLIT,Magnetic,BELIFT LAB,112191,1,45,KOR,2025-01-30,1aKvZDoLGkNMxoRYgkckZG
39,spotify:track:5ocSQW5sIUIOFojwXEz9Ki,NewJeans,Supernatural,ADOR,111964,2,32,KOR,2025-01-30,5ocSQW5sIUIOFojwXEz9Ki
40,spotify:track:38tXZcL1gZRfbqfOG0VMTH,NewJeans,How Sweet,ADOR,111760,1,36,KOR,2025-01-30,38tXZcL1gZRfbqfOG0VMTH
41,spotify:track:21ewxM3YvcdTj7cC0XwznO,Lim Young Woong,Do or Die,Mulgogi Music,110949,6,69,KOR,2025-01-30,21ewxM3YvcdTj7cC0XwznO
42,spotify:track:5sjnkOfTLCLNfkkchI2re2,aespa,UP - KARINA Solo,SM Entertainment,110629,5,17,KOR,2025-01-30,5sjnkOfTLCLNfkkchI2re2
43,spotify:track:6oNLSQX8bcAdbCElZYju3v,fromis_9,Supersonic,PLEDIS Entertainment,109060,12,25,KOR,2025-01-30,6oNLSQX8bcAdbCElZYju3v
44,spotify:track:4XsJiRJQAK8TWcZCn0Dxlh,G-DRAGON,POWER,Galaxy Corporation / EMPIRE,108828,4,14,KOR,2025-01-30,4XsJiRJQAK8TWcZCn0Dxlh
45,spotify:track:2JhbSmNAyM9kYiqwa8Tpla,aespa,Supernova,SM Entertainment,108329,1,38,KOR,2025-01-30,2JhbSmNAyM9kYiqwa8Tpla
46,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,ADOR,106407,1,111,KOR,2025-01-30,3r8RuvgbX9s7ammBn07D3W
47,spotify:track:26JeAi8xsSvLRoNsl9B8Js,BIGBANG,FANTASTIC BABY - Japanese ver.,YGEX,105703,47,9,KOR,2025-01-30,26JeAi8xsSvLRoNsl9B8Js
48,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,105363,1,97,KOR,2025-01-30,3Ua0m0YmEjrMi9XErKcNiR
49,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,105230,20,37,KOR,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
50,spotify:track:6cMpMygFRbnQsI1m5oq8dp,BIGBANG,SOBER,YG Entertainment,103557,50,9,KOR,2025-01-30,6cMpMygFRbnQsI1m5oq8dp
1,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1041253,1,27,KOR,2025-01-23,7tI8dRuH2Yc6RuoTjxo4dU
2,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,416075,1,80,KOR,2025-01-23,2HRgqmZQC0MC7GeNuDIXHN
3,spotify:track:3LWVXp636uLT356Rj08Jaz,Jimin,Be Mine,BIGHIT MUSIC,358665,2,27,KOR,2025-01-23,3LWVXp636uLT356Rj08Jaz
4,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,303876,4,8,KOR,2025-01-23,7G7mSV4BebkoHWwKTDvXu9
5,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,274444,3,10,KOR,2025-01-23,50zAEIE4B1QqhPjRMK2Xmh
6,spotify:track:7GOIrZTegzVty8mhNhRuA0,BOYNEXTDOOR,"IF I SAY, I LOVE YOU",KOZ Entertainment,258708,6,3,KOR,2025-01-23,7GOIrZTegzVty8mhNhRuA0
7,spotify:track:7Cnpb1vBbC46RgVyyKLH7p,aespa,Whiplash,aespa,250103,3,14,KOR,2025-01-23,7Cnpb1vBbC46RgVyyKLH7p
8,spotify:track:1agDCV4zQqaFwJQNsTgmL1,"Jimin, Loco",Smeraldo Garden Marching Band (feat. Loco),BIGHIT MUSIC,226940,2,30,KOR,2025-01-23,1agDCV4zQqaFwJQNsTgmL1
9,spotify:track:1z5ebC9238uGoBgzYyvGpQ,ROSÉ,toxic till the end,Atlantic Records,225043,2,7,KOR,2025-01-23,1z5ebC9238uGoBgzYyvGpQ
10,spotify:track:0Cu8JdYvV9DdmzLzhxaZLH,"G-DRAGON, TAEYANG, DAESUNG",HOME SWEET HOME (feat. TAEYANG & DAESUNG),Galaxy Corporation / EMPIRE,223227,2,9,KOR,2025-01-23,0Cu8JdYvV9DdmzLzhxaZLH
11,spotify:track:3d2bsbugow8JiNvuaRupFH,"Jimin, Sofia Carson",Slow Dance (feat. Sofia Carson),BIGHIT MUSIC,222396,6,27,KOR,2025-01-23,3d2bsbugow8JiNvuaRupFH
12,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",220818,9,9,KOR,2025-01-23,2CGNAOSuO1MEFCbBRgUzjd
13,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,219155,12,23,KOR,2025-01-23,2plbrEY59IikOBgBGLjaoe
14,spotify:track:7gMfVc4zfNIxuMyMGglOHa,Jimin,Rebirth (Intro),BIGHIT MUSIC,214180,8,27,KOR,2025-01-23,7gMfVc4zfNIxuMyMGglOHa
15,spotify:track:6qafqn8bBMy7t5c5WqpyRk,Jimin,Closer Than This,BIGHIT MUSIC,202932,2,57,KOR,2025-01-23,6qafqn8bBMy7t5c5WqpyRk
16,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,198450,2,14,KOR,2025-01-23,4wJ5Qq0jBN4ajy7ouZIV1c
17,spotify:track:01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,197724,2,69,KOR,2025-01-23,01qFKNWq73UfEslI0GvumE
18,spotify:track:1jtlHteF4y7FFHKgYFld4f,IVE,REBEL HEART,Starship Entertainment,188399,18,2,KOR,2025-01-23,1jtlHteF4y7FFHKgYFld4f
