rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
32,spotify:track:6xeqCawPZngDVqw2W2aGaR,"Suara Kayu, Feby Putri",Kembali Pulang,WM Indonesia,2992529,11,103,IDN,2025-01-30,6xeqCawPZngDVqw2W2aGaR
33,spotify:track:5JJ6JB7fKygWoKAcBZKxNo,NDX A.K.A.,Tresno Tekan Mati New Version - Remastered 2023,NDX A.K.A.,2976020,33,5,IDN,2025-01-30,5JJ6JB7fKygWoKAcBZKxNo
34,spotify:track:6zrnrcry6OHVFo3EDt6PYa,Nidji,Rahasia Hati,Musica Studio's,2958697,32,33,IDN,2025-01-30,6zrnrcry6OHVFo3EDt6PYa
35,spotify:track:7J0isBrUxhIYZVdrBOOlIh,Hindia,Cincin,Sun Eater,2944422,11,81,IDN,2025-01-30,7J0isBrUxhIYZVdrBOOlIh
36,spotify:track:2dIBMHByUGcNPzmYBJ6OAj,Hindia,Evaluasi,Sun Eater,2930930,1,168,IDN,2025-01-30,2dIBMHByUGcNPzmYBJ6OAj
37,spotify:track:3aClK9EBpl7QeYEuOq1eMI,Hal,L,typeast record,2868107,8,144,IDN,2025-01-30,3aClK9EBpl7QeYEuOq1eMI
38,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",2828314,29,11,IDN,2025-01-30,7ne4VBA60CxGM75vw0EYad
39,spotify:track:0qjuyXWrksQxIRntqz9ZJV,Yovie & Nuno,Tanpa Cinta,Sony Music Entertainment,2823324,39,119,IDN,2025-01-30,0qjuyXWrksQxIRntqz9ZJV
40,spotify:track:6Npkwd5gv61SR6QZbTyNf9,Juicy Luicy,Lampu Kuning,E-Motion Entertainment,2811941,16,30,IDN,2025-01-30,6Npkwd5gv61SR6QZbTyNf9
41,spotify:track:6XKEElbr3cWmnUw6a5HRBV,Mahalini,Mati-Matian,HITS Records,2653288,2,44,IDN,2025-01-30,6XKEElbr3cWmnUw6a5HRBV
42,spotify:track:4GfK1qOF3uBWidbPlTCQRL,Tulus,Monokrom,TulusCompany,2617331,12,409,IDN,2025-01-30,4GfK1qOF3uBWidbPlTCQRL
43,spotify:track:6i9Ci0IN1q1GcnhdbKU7kZ,Nadhif Basalamah,penjaga hati,After School,2582847,1,69,IDN,2025-01-30,6i9Ci0IN1q1GcnhdbKU7kZ
44,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,2546318,39,14,IDN,2025-01-30,3QaPy1KgI7nu9FJEQUgn6h
45,spotify:track:5l3jhWIfRg1FeKgw7R1jWb,Meiska,Keras Kepala,Sony Music Entertainment,2508104,30,27,IDN,2025-01-30,5l3jhWIfRg1FeKgw7R1jWb
46,spotify:track:1AoBdDIOp6RFjAbzcPbWi8,Tiara Andini,Janji Setia,PT. Universal Music Indonesia,2483842,13,149,IDN,2025-01-30,1AoBdDIOp6RFjAbzcPbWi8
47,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2457200,1,15,IDN,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
48,spotify:track:5KYUrBgdbIcqwaGSIgfXPl,Bernadya,Apa Mungkin,Juni Records,2395199,5,90,IDN,2025-01-30,5KYUrBgdbIcqwaGSIgfXPl
49,spotify:track:5drW6PGRxkE6MxttzVLNk5,Hindia,Secukupnya,Sun Eater,2347728,1,280,IDN,2025-01-30,5drW6PGRxkE6MxttzVLNk5
50,spotify:track:5eBk8ZXcd0pb0AO4a5PpOg,Sal Priadi,Gala bunga matahari,Orang Pertunjukan,2336953,1,32,IDN,2025-01-30,5eBk8ZXcd0pb0AO4a5PpOg
1,spotify:track:6gjkHuMOR0CrN7Vb2NoEdg,Andmesh,Anugerah Terindah,HITS Records,9851937,1,9,IDN,2025-01-23,6gjkHuMOR0CrN7Vb2NoEdg
2,spotify:track:1hlHeIZ36Idpr57xPI8OCD,"Tenxi, Jemsii, Naykilla",Garam & Madu (Sakit Dadaku),Mighty Record,8815369,2,3,IDN,2025-01-23,1hlHeIZ36Idpr57xPI8OCD
3,spotify:track:26KhLgFuPymkm1uiZkc6Rv,The Lantis,Bunga Maaf,WM Indonesia,7910305,2,7,IDN,2025-01-23,26KhLgFuPymkm1uiZkc6Rv
4,spotify:track:0PtJbtW50jcvvswNPn3QGd,For Revenge,Serana,Didi Music,6428997,1,141,IDN,2025-01-23,0PtJbtW50jcvvswNPn3QGd
5,spotify:track:0daEJMXc3b4ZMTnvtHpuTt,.Feast,Nina,Sun Eater,6319914,2,22,IDN,2025-01-23,0daEJMXc3b4ZMTnvtHpuTt
6,spotify:track:3be9ACTxtcL6Zm4vJRUiPG,yung kai,blue,BMG Rights Management (US) LLC,6244519,3,10,IDN,2025-01-23,3be9ACTxtcL6Zm4vJRUiPG
7,spotify:track:70Wtp9jCA3ZhGAxV0pnwS7,Rio Clappy,Bunga Abadi,Rio Clappy,5719367,6,28,IDN,2025-01-23,70Wtp9jCA3ZhGAxV0pnwS7
