rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
29,spotify:track:28lX0N3Fa1L5YzzPfklvc0,"Bruno & Denner, Hugo & Guilherme",Namora Ela - Ao Vivo,WM Brazil,3819547,26,5,BRA,2025-01-30,28lX0N3Fa1L5YzzPfklvc0
30,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,3790635,5,24,BRA,2025-01-30,2plbrEY59IikOBgBGLjaoe
31,spotify:track:2M2eRVCQbC3rHFSm9oT3YD,"Luan Pereira, Léo Foguete",UM PALMO - Ao Vivo,Som Livre,3761955,23,7,BRA,2025-01-30,2M2eRVCQbC3rHFSm9oT3YD
32,spotify:track:2cGRf9skACWnKRK1eLYBJn,Guilherme & Benuto,Sujeito Homem - Ao Vivo,Sony Music Entertainment,3740538,18,15,BRA,2025-01-30,2cGRf9skACWnKRK1eLYBJn
33,spotify:track:3H7eBmcTJyuEMStfmKuLmG,"MC Cebezinho, DJ Oreia, MC Tuto, Love Funk, Mc Kako",A Danada Me Ligando,Love Funk,3625387,1,22,BRA,2025-01-30,3H7eBmcTJyuEMStfmKuLmG
34,spotify:track:6rMteVnxuGa7Dixs0SPW4l,"Márcia Fellipe, Raphaela Santos",Você Lembra - Ao Vivo,R10 Produções,3587628,34,4,BRA,2025-01-30,6rMteVnxuGa7Dixs0SPW4l
35,spotify:track:1RkyWVwtYMAChNGZYluilS,Felipe e Rodrigo,Banquinho - Ao Vivo,Virgin Music Label And Artist Services (S&D),3516118,30,9,BRA,2025-01-30,1RkyWVwtYMAChNGZYluilS
36,spotify:track:3yCtRV7LMeGBpvSHDR8uMV,"Boladin 211, MC Rick, MC Leozinho ZS, CAO$, Dj Lv Mdp",Chapa Máxima,WM Brazil,3382170,36,8,BRA,2025-01-30,3yCtRV7LMeGBpvSHDR8uMV
37,spotify:track:63BroH3HiwxYD8T5qTZiJn,Gusttavo Lima,A Noite (La Notte) - Ao Vivo,Sony Music Entertainment,3363239,3,25,BRA,2025-01-30,63BroH3HiwxYD8T5qTZiJn
38,spotify:track:2f6GG12VL2rGMS9BGjD7rM,Thiago Carvalho,Cachorro,WM Brazil,3342913,32,5,BRA,2025-01-30,2f6GG12VL2rGMS9BGjD7rM
39,spotify:track:5rHhO6SBSzo3E9m3KHyCtt,"Murilo Huff, Ana Castela",Peça Íntima,M Show,3261775,8,16,BRA,2025-01-30,5rHhO6SBSzo3E9m3KHyCtt
40,spotify:track:37QloSdzrjx2xCH0m65800,"Gustavo Mioto, Grupo Menos É Mais",Nada Com Nada - Ao Vivo,Universal Music Ltda.,3233953,40,8,BRA,2025-01-30,37QloSdzrjx2xCH0m65800
41,spotify:track:77HhVmRv7IxDqkyMxElSrK,"Anitta, Mc Danny, HITMAKER",Sei Que Tu Me Odeia,Universal Music Ltda.,3201249,41,2,BRA,2025-01-30,77HhVmRv7IxDqkyMxElSrK
42,spotify:track:5DxPUI3cMU7EkayHlYLJCI,Maiara & Maraisa,Vai Lá - Ao Vivo em Goiânia,Work Show,3194729,4,18,BRA,2025-01-30,5DxPUI3cMU7EkayHlYLJCI
43,spotify:track:2drZGdAOxfE2KoMGTkidmq,"MC Marks, MC Ryan SP, MC Jvila, MC Bruno MS, Mc Magal, Aaron Modesto, DJ Dael",365 Dias (Vida Mansa),Legenda Records,3164946,9,18,BRA,2025-01-30,2drZGdAOxfE2KoMGTkidmq
44,spotify:track:65vJAh07BdwurqR9SRa6f8,"Ferrugem, Sorriso Maroto",Apaguei Pra Todos - Ao Vivo,WM Brazil,3164663,26,41,BRA,2025-01-30,65vJAh07BdwurqR9SRa6f8
45,spotify:track:6ukVCqH77f6cwRHyJBhGgy,Israel & Rodolffo,Arruma Um Bão,Som Livre,3060503,13,17,BRA,2025-01-30,6ukVCqH77f6cwRHyJBhGgy
46,spotify:track:6koWqVkAn42qhbUITr4lxi,"Henry Freitas, Hugo Henrique",Dia 1 - Versão Forró,Universal Music Ltda.,2985567,46,4,BRA,2025-01-30,6koWqVkAn42qhbUITr4lxi
47,spotify:track:3WzgvHWoHNZTVigfgCyiDR,"Naiara Azevedo, Clayton & Romário",Última Vez - Ao Vivo,2024 Naiara Azevedo,2878122,47,2,BRA,2025-01-30,3WzgvHWoHNZTVigfgCyiDR
48,spotify:track:37bToUvlC32varJ3IT4XUE,"Guilherme & Benuto, NATTAN",Fechando o Circo - Ao Vivo,Sony Music Entertainment,2853739,48,7,BRA,2025-01-30,37bToUvlC32varJ3IT4XUE
49,spotify:track:0kdLrg7jLzNcfTgL0cdwoN,"Manu, Matheus & Kauan",Universo,manuoficial,2852980,49,3,BRA,2025-01-30,0kdLrg7jLzNcfTgL0cdwoN
