rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
30,spotify:track:5QjmUqgpPQgXgg4606DqZF,Kapo,UWAIE,Sony Music Latin/La Industria,836293,1,24,COL,2025-01-30,5QjmUqgpPQgXgg4606DqZF
31,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,812049,11,11,COL,2025-01-30,0l0vcZMU7AOeQmUIREoI2U
32,spotify:track:1Q9Efnm5csdCMFynISxL2x,"Bad Bunny, RaiNao",PERFuMITO NUEVO,Rimas Entertainment LLC.,762602,12,4,COL,2025-01-30,1Q9Efnm5csdCMFynISxL2x
33,spotify:track:63pLfjK6FvcYJYMGwtHjd6,Feid,SORRY 4 THAT MUCH,FEID,742564,1,34,COL,2025-01-30,63pLfjK6FvcYJYMGwtHjd6
34,spotify:track:064fLCSLFvjocxzHXAyA0W,"Jombriel, Alex Krack, Jøtta",Parte & Choke,WEA Latina,740115,21,9,COL,2025-01-30,064fLCSLFvjocxzHXAyA0W
35,spotify:track:1uRZnMiwpeK7ShuG6mxM8r,Reykon,Baila Baila,Ciudad de Dios,739177,19,5,COL,2025-01-30,1uRZnMiwpeK7ShuG6mxM8r
36,spotify:track:0iKo4pNNjHHdKUcFARlfCa,Bad Bunny,EL CLúB,Rimas Entertainment LLC.,734538,12,8,COL,2025-01-30,0iKo4pNNjHHdKUcFARlfCa
37,spotify:track:7tCuCjhxzjX2XCz4JiiAsp,Bad Bunny,TURiSTA,Rimas Entertainment LLC.,712253,17,4,COL,2025-01-30,7tCuCjhxzjX2XCz4JiiAsp
38,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,705687,1,128,COL,2025-01-30,2CeKVsFFXG4QzA415QygGb
39,spotify:track:60u6hcpH5Qm1M3xESdNBrB,Beéle,Frente al Mar,5020 Records,684713,13,18,COL,2025-01-30,60u6hcpH5Qm1M3xESdNBrB
40,spotify:track:1fTjqf10accJCDYstPwwZ6,Kapo,Ohnana,Sony Music Latin/La Industria,681167,3,33,COL,2025-01-30,1fTjqf10accJCDYstPwwZ6
41,spotify:track:3LBYHlDSJOeUWSvCHXDWy5,Danny Ocean,VITAMINA,Atlantic Records,673875,41,1,COL,2025-01-30,3LBYHlDSJOeUWSvCHXDWy5
42,spotify:track:57pj5sOWSCAqZm088LMcE4,"Blessd, Maluma",Oe Bebé,WEA Latina,660267,8,34,COL,2025-01-30,57pj5sOWSCAqZm088LMcE4
43,spotify:track:7MOeU5nxbbgD90VFdpBFmH,Kris R.,BLANQUITA,La K Company SAS,659139,43,3,COL,2025-01-30,7MOeU5nxbbgD90VFdpBFmH
44,spotify:track:7lcbpfihslisNObKdHjyLo,"Clarent, Mora",IA,WEA Latina,656400,37,7,COL,2025-01-30,7lcbpfihslisNObKdHjyLo
45,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,634270,28,24,COL,2025-01-30,2plbrEY59IikOBgBGLjaoe
46,spotify:track:4c2Pc0NrfkesPR0jff6q3F,Bad Bunny,KETU TeCRÉ,Rimas Entertainment LLC.,608524,23,4,COL,2025-01-30,4c2Pc0NrfkesPR0jff6q3F
47,spotify:track:7iQXYTyuG13aoeHxGG28Nh,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,601396,1,68,COL,2025-01-30,7iQXYTyuG13aoeHxGG28Nh
48,spotify:track:0EFxJw34fK8DWlTxx9qYeW,Blessd,Instagram,WEA Latina,596347,2,138,COL,2025-01-30,0EFxJw34fK8DWlTxx9qYeW
49,spotify:track:0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,590086,2,292,COL,2025-01-30,0fea68AdmYNygeTGI4RC18
50,spotify:track:3G7agPwWfcORnWCAGMDOpm,Bad Bunny,LA MuDANZA,Rimas Entertainment LLC.,579792,26,4,COL,2025-01-30,3G7agPwWfcORnWCAGMDOpm
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,3051104,1,3,COL,2025-01-23,3sK8wGT43QFpWrvNQsrQya
2,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,2369705,2,3,COL,2025-01-23,2lTm559tuIvatlT1u0JYG2
3,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,2220010,1,11,COL,2025-01-23,4zbEItKoaRId1vRZkoO0Uh
4,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,2013152,4,3,COL,2025-01-23,59D4DOkspUbWyMmbAPQkxZ
5,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,1954255,3,3,COL,2025-01-23,5TFD2bmFKGhoCRbX61nXY5
