rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
148,"spotify:track:01hQQr1vfQiz4LPpQnDGiO","Vesterinen yhtyeineen","Tummilla teillä","Universal Music Oy",115,165,33,"63633"
149,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",21,177,85,"63245"
150,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",104,156,23,"63044"
151,"spotify:track:4YuTdYp6qM9gWvN0oYpe40","VJ","Crocodile Teeth","WM Finland",43,125,49,"62841"
152,"spotify:track:0Gv4pKOPGajSF63YDPqKjD","Jore & Zpoppa, william","Bämä (feat. william)","Laundry Music Company",4,-1,53,"62820"
153,"spotify:track:2EPSQ6VAbzlikTofW0LqjZ","pehmoaino","ensimmäinen peili","Sony Music Entertainment Finland",33,164,9,"62457"
154,"spotify:track:3QUpgNvOU1AQsxVrdUby1H","Cledos, VJ","Liian moni (feat. VJ)","WM Finland",6,151,22,"62372"
155,"spotify:track:5enVWJXH9X2Biou4niupoJ","pehmoaino","valssi","Sony Music Entertainment Finland",29,173,18,"61862"
156,"spotify:track:2aaD5FC8TAvaKq1y3SOtxK","ibe","sateenkaarenpää","Skorpioni",28,155,22,"61834"
157,"spotify:track:2XaewhXngZd2Zi4ijFIkK0","BEHM","Hei rakas","WM Finland",1,167,224,"61820"
158,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",7,168,162,"61458"
159,"spotify:track:30Ycic1p43sN4KlzK9MX4G","Dingo","Levoton Tuhkimo","WEA",118,174,26,"61107"
160,"spotify:track:27W7AtpUS3GVxiNIdfAG7v","BESS","Sammumaton","Universal Music Oy",14,178,69,"60770"
161,"spotify:track:4JOQfZXLJ1bFKTl1uimWhz","BEHM","Sata vuotta","WM Finland",1,172,61,"60767"
162,"spotify:track:16IJwPninxiInw5Mi0oegA","emma & matilda","Kauan","WM Finland",58,58,2,"60746"
163,"spotify:track:0WzmYcHhfkchwvZagvItxK","JVG","Amatimies","WM Finland",1,190,96,"60393"
164,"spotify:track:4wqqfH4CBaQURaClv7dsID","Lauri Haav","Rakkauteen","PME Records",5,160,21,"60212"
165,"spotify:track:6PSdyypNd84uQn4f2qFrtC","MD$, Lauri Haav, Etta","Kolmestaa (feat. Lauri Haav & Etta)","Sony Music Entertainment Finland",6,129,12,"59989"
166,"spotify:track:4Q7NePRrh6S0WzKMz8CbCA","Pariisin Kevät","Kesäyö","Columbia",19,187,87,"59593"
167,"spotify:track:2nLtzopw4rPReszdYBJU6h","Linkin Park","Numb","Warner Records",37,-1,10,"59493"
168,"spotify:track:7DSAEUvxU8FajXtRloy8M0","Miley Cyrus","Flowers","Columbia",1,157,55,"59099"
169,"spotify:track:0HxPzvkpUhADgfRnXNF6zS","Elastinen, BESS","Pimee (feat. BESS)","WM Finland",6,185,28,"58702"
