rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
29,spotify:track:2uqYupMHANxnwgeiXTZXzd,Dasha,Austin (Boots Stop Workin'),Warner Records,6072328,20,15,USA,2024-06-20,2uqYupMHANxnwgeiXTZXzd
30,spotify:track:2GxrNKugF82CnoRFbQfzPf,Artemas,i like the way you kiss me,Artemas,5843471,3,13,USA,2024-06-20,2GxrNKugF82CnoRFbQfzPf
31,spotify:track:2Zo1PcszsT9WQ0ANntJbID,Sabrina Carpenter,Feather,Island Records,5812847,20,30,USA,2024-06-20,2Zo1PcszsT9WQ0ANntJbID
32,spotify:track:6XjDF6nds4DE2BBbagZol6,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,5752440,13,15,USA,2024-06-20,6XjDF6nds4DE2BBbagZol6
33,spotify:track:5W4kiM2cUYBJXKRudNyxjW,Morgan Wallen,You Proof,Big Loud Records / Mercury Records / Republic Records,5585029,8,110,USA,2024-06-20,5W4kiM2cUYBJXKRudNyxjW
34,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,5558643,24,6,USA,2024-06-20,3Vr3zh0r7ALn8VLqCiRR10
35,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,5486866,2,15,USA,2024-06-20,51ZQ1vr10ffzbwIjDCwqm4
36,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,Warner Records,5333196,4,113,USA,2024-06-20,3WMj8moIAXJhHsyLaqIIHI
37,spotify:track:1bjeWoagtHmUKputLVyDxQ,SZA,Saturn,Top Dawg Entertainment/RCA Records,5128633,5,17,USA,2024-06-20,1bjeWoagtHmUKputLVyDxQ
38,spotify:track:0PAcdVzhPO4gq1Iym9ESnK,Morgan Wallen,Thinkin’ Bout Me,Big Loud Records / Mercury Records / Republic Records,5101077,9,68,USA,2024-06-20,0PAcdVzhPO4gq1Iym9ESnK
39,spotify:track:5MPi9e7z46wopyad10R6qx,Gracie Abrams,Close To You,"Gracie Abrams, under exclusive license to Interscope Records",5073144,27,2,USA,2024-06-20,5MPi9e7z46wopyad10R6qx
40,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5072716,2,84,USA,2024-06-20,1BxfuPKGuaTgP7aM0Bbdwr
41,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,5063104,3,18,USA,2024-06-20,3qhlB30KknSejmIvZZLjOD
42,spotify:track:0PHrcmOtDE89ew4vVEaD7S,Don Toliver,BANDIT,Cactus Jack / Atlantic,5023092,15,20,USA,2024-06-20,0PHrcmOtDE89ew4vVEaD7S
43,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,Zach Bryan,Heading South,Warner Records,5010434,36,84,USA,2024-06-20,2Dct3GykKZ58hpWRFfe2Qd
44,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,5002276,5,155,USA,2024-06-20,7KA4W4McWYRpgf0fWsJZWB
45,spotify:track:77DRzu7ERs0TX3roZcre7Q,Kendrick Lamar,euphoria,"Kendrick Lamar, under exclusive license to Interscope Records",4986741,3,8,USA,2024-06-20,77DRzu7ERs0TX3roZcre7Q
46,spotify:track:1d966178PJg6b4kcXqoYF3,$uicideboy$,The Thin Grey Line,G59 Records,4972737,46,3,USA,2024-06-20,1d966178PJg6b4kcXqoYF3
47,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,4822341,11,5,USA,2024-06-20,3QaPy1KgI7nu9FJEQUgn6h
48,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,Michael Marcagi,Scared To Start,Warner Records,4788745,16,22,USA,2024-06-20,3Pbp7cUCx4d3OAkZSCoNvn
49,spotify:track:5A8xI7PN4WDe9e61xEdt94,GloRilla,Yeah Glo!,CMG/Interscope Records,4670229,38,15,USA,2024-06-20,5A8xI7PN4WDe9e61xEdt94
50,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,Island Records,4663085,15,75,USA,2024-06-20,6dgUya35uo964z7GZXM07g
1,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,Please Please Please,Island Records,29638960,1,1,USA,2024-06-13,5N3hjp1WNayUPZrA8kJmJP
2,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,23301994,1,9,USA,2024-06-13,2qSkIjg1o9h3YT9RAgYN75
3,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,22088494,3,4,USA,2024-06-13,6dOtVTDdiauQNBQEDOtlAB
4,spotify:track:7221xIgOnuakPdLqT0F3nP,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records/Republic Records,19696248,1,5,USA,2024-06-13,7221xIgOnuakPdLqT0F3nP
5,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",18079396,1,6,USA,2024-06-13,6AI3ezQ4o3HUoP6Dhudph3
6,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,18066025,2,7,USA,2024-06-13,5AJ9hqTS2wcFQCELCFRO7A
7,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,16806320,3,9,USA,2024-06-13,5fZJQrFKWQLb7FpJXZ1g7K
8,spotify:track:2HYFX63wP3otVIvopRS99Z,Eminem,Houdini,Shady/Aftermath/Interscope Records,14221843,5,2,USA,2024-06-13,2HYFX63wP3otVIvopRS99Z
9,spotify:track:4ZJ4vzLQekI0WntDbanNC7,Zach Bryan,Pink Skies,Warner Records,13984546,8,3,USA,2024-06-13,4ZJ4vzLQekI0WntDbanNC7
10,spotify:track:629DixmZGHc7ILtEntuiWE,Billie Eilish,LUNCH,Darkroom/Interscope Records,13108725,4,4,USA,2024-06-13,629DixmZGHc7ILtEntuiWE
11,spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,11539247,1,12,USA,2024-06-13,5Z0UnEtpLDQyYlWwgi8m9C
12,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,10762940,12,10,USA,2024-06-13,0WbMK4wrZ1wFSty9F7FCgu
13,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,9558182,7,4,USA,2024-06-13,7BRD7x5pt8Lqa1eGYC4dzj
