rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
36,spotify:track:5cWgwbui8BasfjCXvBZ7UA,"Carin Leon, Grupo Frontera",Alch Si,SOCIOS MUSIC LLC,4160308,36,12,MEX,2024-02-22,5cWgwbui8BasfjCXvBZ7UA
37,spotify:track:0lbDzTINTToToBpkrnQT2t,"Fuerza Regida, Manuel Turizo",UNA CERVEZA,Rancho Humilde/Street Mob Records,4129674,35,9,MEX,2024-02-22,0lbDzTINTToToBpkrnQT2t
38,spotify:track:1GtIK8iINes4gNt06F60NU,Alfredo Olivas,Vete,Fonovisa,3959242,28,34,MEX,2024-02-22,1GtIK8iINes4gNt06F60NU
39,spotify:track:4GvEuYAfJlICR2SpMDaBxQ,"Jere Klein, Gittobeatz",ANDO,Jere Klein,3841317,37,14,MEX,2024-02-22,4GvEuYAfJlICR2SpMDaBxQ
40,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,Myke Towers,LA FALDA,WEA Latina,3739714,40,10,MEX,2024-02-22,7iUtQNMRB8ZkKC4AmEuCJC
41,spotify:track:1tzj4DDVNp6X2ltpdTGtZW,"Javier Rosas Y Su Artillería Pesada, Lupe Borbon y su Blindaje 7",La Suma,Rosas Music,3738231,28,5,MEX,2024-02-22,1tzj4DDVNp6X2ltpdTGtZW
42,spotify:track:2NQZVzSRRatbbPWD5IfadH,Xavi,Sin Pagar Renta,Interscope Records,3680243,32,11,MEX,2024-02-22,2NQZVzSRRatbbPWD5IfadH
43,spotify:track:1UL2Sn9KX8StSDOp8ZEAOC,Doble ONE Flow Letal,Mi Kryptonita,CUELLO BLANCO,3592704,25,17,MEX,2024-02-22,1UL2Sn9KX8StSDOp8ZEAOC
44,spotify:track:5HR7yfhSCeoOHRQN05XnZQ,"Grupo Frontera, Carin Leon",QUE VUELVAS,Grupo Frontera,3514069,2,63,MEX,2024-02-22,5HR7yfhSCeoOHRQN05XnZQ
45,spotify:track:2yzshFeBIwH8tWIqHEFLeD,"Grupo Frontera, Bad Bunny",un x100to,Grupo Frontera,3420823,2,45,MEX,2024-02-22,2yzshFeBIwH8tWIqHEFLeD
46,spotify:track:3kx21xR6IboC9HVdajgBoc,Fuerza Regida,SABOR FRESA,Rancho Humilde/Street Mob Records,3362217,2,35,MEX,2024-02-22,3kx21xR6IboC9HVdajgBoc
47,spotify:track:505v13epFXodT9fVAJ6h8k,KAROL G,AMARGURA,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,3360808,38,41,MEX,2024-02-22,505v13epFXodT9fVAJ6h8k
48,spotify:track:1RzjXhgnzqb3dMa5852itx,"Peso Pluma, Tito Double P",LA PEOPLE,Double P Records,3244130,8,28,MEX,2024-02-22,1RzjXhgnzqb3dMa5852itx
49,spotify:track:1PTgQ0HyfwbXRKapVPNKxI,"Oscar Maydon, Natanael Cano, Gabito Ballesteros",Tipo Gatsby,Rancho Humilde,3233393,26,9,MEX,2024-02-22,1PTgQ0HyfwbXRKapVPNKxI
50,spotify:track:5rAnfPGKZGyRBzI5kcAaqB,"Oscar Maydon, Grupo Marca Registrada",Anda Bien el Nene,Rancho Humilde,3169189,50,2,MEX,2024-02-22,5rAnfPGKZGyRBzI5kcAaqB
1,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,Xavi,La Diabla,Interscope Records,16975315,1,11,MEX,2024-02-15,0R6NfOiLzLj4O5VbYSJAjf
2,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,Xavi,La Víctima,Interscope Records,12359253,2,21,MEX,2024-02-15,5XVdHRf4CAJ2Jm0uMIy5qY
3,spotify:track:3QQAeMQbbjZXVFbF8DgFWT,"Oscar Ortiz, Edgardo Nuñez",FIRST LOVE,"Badsin Records, LLC",9309398,3,8,MEX,2024-02-15,3QQAeMQbbjZXVFbF8DgFWT
4,spotify:track:6XaJfhwof7qIgbbXO5tIQI,"Kali Uchis, Peso Pluma",Igual Que Un Ángel (with Peso Pluma),Geffen Records,9029575,3,5,MEX,2024-02-15,6XaJfhwof7qIgbbXO5tIQI
5,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,Street Mob Records,8297750,1,24,MEX,2024-02-15,6uIIdjYTxxpWOyWuVXrKQO
6,spotify:track:6CvTEtGagmzQvkUzzyKR9k,"Fuerza Regida, Marshmello",HARLEY QUINN,Rancho Humilde/Street Mob Records,7366773,1,17,MEX,2024-02-15,6CvTEtGagmzQvkUzzyKR9k
7,spotify:track:4loIMejzvt11s97SGVEat8,"Xavi, Los Dareyes De La Sierra",Poco A Poco,Interscope Records,6955022,7,20,MEX,2024-02-15,4loIMejzvt11s97SGVEat8
8,spotify:track:6ED7qim1NAX1HjNU8039WS,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel, Los Esquivel",Alucin,"WKMX, División of WK Records / RB Records",6888597,7,13,MEX,2024-02-15,6ED7qim1NAX1HjNU8039WS
9,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,Junior H,Y LLORO,WEA Latina,6685888,5,19,MEX,2024-02-15,6RcAHyC5sAUIbPTkhOQwd8
10,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,"KAROL G, Peso Pluma",QLONA,Bichota/Interscope Records,6158196,2,27,MEX,2024-02-15,5RqSsdzTNPX1uzkmlHCFvK
11,spotify:track:6YOfGIE6iFxC7G8OlGGvzW,Junior H,ROCKSTAR,WEA Latina,6112666,11,19,MEX,2024-02-15,6YOfGIE6iFxC7G8OlGGvzW
12,spotify:track:05tGmdz9dVZ4yGqz4YJdPK,"Christian Nodal, Peso Pluma",La Intención,"Producciones Ladon, S.A de C.V.",5971690,9,3,MEX,2024-02-15,05tGmdz9dVZ4yGqz4YJdPK
13,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,5950999,13,11,MEX,2024-02-15,7bywjHOc0wSjGGbj04XbVi
14,spotify:track:127UT7AiWflJwjXWUBBVTQ,Natanael Cano,O Me Voy O Te Vas,WEA Latina,5915559,12,18,MEX,2024-02-15,127UT7AiWflJwjXWUBBVTQ
15,spotify:track:0O3U5iwTbiXCREMkvotJuN,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,Grupo Frontera,5891934,5,28,MEX,2024-02-15,0O3U5iwTbiXCREMkvotJuN
16,spotify:track:2OWv3lRR8PtOVuHWzQNRs2,"Peso Pluma, Junior H, Oscar Maydon",ROMPE LA DOMPE,2023 Double P Records,5884210,4,7,MEX,2024-02-15,2OWv3lRR8PtOVuHWzQNRs2
17,spotify:track:1sXr6moCwVxwKEgSPxhVvF,"Calle 24, Chino Pacas",Apaga El Cel,Street Mob Records,5790563,14,7,MEX,2024-02-15,1sXr6moCwVxwKEgSPxhVvF
18,spotify:track:51qYdMBxt9mFbtZBzq1Yfi,Julión Álvarez y su Norteño Banda,Regalo De Dios,UMLE - Fonovisa,5689014,18,7,MEX,2024-02-15,51qYdMBxt9mFbtZBzq1Yfi
19,spotify:track:2TJKY0WSFufZOzbRNgl6zE,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",ELOVRGA,Rios Music/ Outerspace Music/ Boba Records Corporation,5659535,3,26,MEX,2024-02-15,2TJKY0WSFufZOzbRNgl6zE
20,spotify:track:05WVKTdZhlIMX4qqMLuo0f,"Peso Pluma, Anitta",BELLAKEO,Double P Records,5478955,7,10,MEX,2024-02-15,05WVKTdZhlIMX4qqMLuo0f
21,spotify:track:1TEKUj8c5iyRNUUxo9SdSD,"Xavi, Tony Aguirre",Modo DND,Interscope Records,5080461,13,16,MEX,2024-02-15,1TEKUj8c5iyRNUUxo9SdSD
22,spotify:track:7mXuWTczZNxG5EDcjFEuJR,"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,Double P Records,5015267,1,34,MEX,2024-02-15,7mXuWTczZNxG5EDcjFEuJR
23,spotify:track:1rXxK89X0XGpIdTB6CwiFu,Gabito Ballesteros,A Puro Dolor,Los CT Records,4902348,13,11,MEX,2024-02-15,1rXxK89X0XGpIdTB6CwiFu
24,spotify:track:4bw8mcDUSRWfQo63ZTYRnU,"Maluma, Carin Leon",Según Quién,Sony Music Latin,4847680,6,26,MEX,2024-02-15,4bw8mcDUSRWfQo63ZTYRnU
25,spotify:track:4zfQER4owi8q6NL8Gg63Ya,Fuerza Regida,CRAZYZ,Rancho Humilde/Street Mob Records,4760070,20,13,MEX,2024-02-15,4zfQER4owi8q6NL8Gg63Ya
26,spotify:track:4t46soaqA758rbukTO5pp1,Natanael Cano,Mi Bello Angel,WEA Latina,4695234,4,33,MEX,2024-02-15,4t46soaqA758rbukTO5pp1
27,spotify:track:3FvTHuefYV6TxE3Kseqno8,"Gabito Ballesteros, Natanael Cano",LOU LOU,Los CT Records,4689343,3,17,MEX,2024-02-15,3FvTHuefYV6TxE3Kseqno8
28,spotify:track:25OeKzcqakFPaJlXHPE5lm,Carin Leon,Primera Cita,"Socios Music, LLC",4592586,2,42,MEX,2024-02-15,25OeKzcqakFPaJlXHPE5lm
