rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
142,"spotify:track:2bJvI42r8EF3wxjOuDav4r","Pitbull, Ne-Yo","Time of Our Lives","Mr.305/Polo Grounds Music/RCA Records",142,154,19,"95072"
143,"spotify:track:3BKD1PwArikchz2Zrlp1qi","David Guetta, Anne-Marie, Coi Leray","Baby Don't Hurt Me","Parlophone UK",15,195,51,"95040"
144,"spotify:track:3ZaEs1O8BG581qYPHpQ8d6","A$AP Rocky, Imogen Heap, Clams Casino","I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","A$AP Worldwide/RCA Records",120,-1,11,"94938"
145,"spotify:track:1bjeWoagtHmUKputLVyDxQ","SZA","Saturn","Top Dawg Entertainment/RCA Records",60,124,9,"94362"
146,"spotify:track:14AJI1RloVWTh8bJe9gBPM","Petra Marklund","Händerna mot himlen","Razzia",106,130,34,"93125"
147,"spotify:track:2J2Z1SkXYghSajLibnQHOa","Sia","Unstoppable","Monkey Puzzle Records/RCA Records",63,143,131,"92087"
148,"spotify:track:4SBEZonvKrv7ry9TRXbbWp","TIX, Kudos","Piller i Hjertet","Universal Music AS",5,121,13,"91941"
149,"spotify:track:2XXwLdtuAcE0HSCu61ijAb","Taylor Swift","My Boy Only Breaks His Favorite Toys","Taylor Swift",36,66,3,"91585"
150,"spotify:track:1ACA277B6f46DYCgZW8di3","Artemas","if u think i'm pretty","Artemas",65,101,12,"91191"
151,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Mosley Music/Interscope Records",9,142,95,"91108"
152,"spotify:track:0ARPFpJeBfsRmwrrzdvrls","Rotlaus","Rundt neste sving","Universal Music AS",72,147,264,"90960"
153,"spotify:track:7yRrAsBprcsSDtiENWVQds","Stavangerkameratene","Bare så du vett det","daWorks Records",77,175,334,"90301"
154,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",73,150,45,"89924"
