rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
49,spotify:track:4hGLX2kT2Ayrw0Uh2oQp0J,"Flex (UK), Nate Dogg",6 In the Morning (feat. Nate Dogg),Robots & Humans/Columbia,973788,49,2,GBR,2024-06-13,4hGLX2kT2Ayrw0Uh2oQp0J,64,168000,True,,2024-05-17,https://i.scdn.co/image/ab67616d0000b2737bf551768073fb54b6af9115,https://i.scdn.co/image/ab6761610000e5eb5e46e4802937416029313f76
50,spotify:track:5og4Qzt92jJzVDkOtSEilb,Taylor Swift,But Daddy I Love Him,Taylor Swift,969905,9,8,GBR,2024-06-13,5og4Qzt92jJzVDkOtSEilb,70,340428,True,,2024-04-18,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
1,spotify:track:2HYFX63wP3otVIvopRS99Z,Eminem,Houdini,Shady/Aftermath/Interscope Records,6052392,1,1,GBR,2024-06-06,2HYFX63wP3otVIvopRS99Z,79,227239,True,rap,2024-05-31,https://i.scdn.co/image/ab67616d0000b273810603c94c9246379604cf1a,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
2,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,5284782,1,8,GBR,2024-06-06,2qSkIjg1o9h3YT9RAgYN75,87,175459,True,,2024-04-12,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
3,spotify:track:7iabz12vAuVQYyekFIWJxD,"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),Columbia,4573154,3,2,GBR,2024-06-06,7iabz12vAuVQYyekFIWJxD,79,140733,True,uk drill,2024-05-23,https://i.scdn.co/image/ab67616d0000b2737b588bf0555bde606f8b27c7,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
4,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,4496937,4,3,GBR,2024-06-06,6dOtVTDdiauQNBQEDOtlAB,96,210373,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
5,spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,3918639,1,10,GBR,2024-06-06,5Z0UnEtpLDQyYlWwgi8m9C,40,251424,False,,2024-03-22,https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a
6,spotify:track:629DixmZGHc7ILtEntuiWE,Billie Eilish,LUNCH,Darkroom/Interscope Records,3687036,2,3,GBR,2024-06-06,629DixmZGHc7ILtEntuiWE,84,179586,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
7,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,3639131,3,8,GBR,2024-06-06,5fZJQrFKWQLb7FpJXZ1g7K,82,171291,True,,2024-05-31,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,https://i.scdn.co/image/ab6761610000e5eb89447fe120bae042c52fad07
8,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,3259423,2,6,GBR,2024-06-06,5AJ9hqTS2wcFQCELCFRO7A,87,155151,False,,2024-04-26,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f,https://i.scdn.co/image/ab6761610000e5eba4526fcc32ed603aa823e0a2
9,spotify:track:7221xIgOnuakPdLqT0F3nP,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records/Republic Records,3237810,3,4,GBR,2024-06-06,7221xIgOnuakPdLqT0F3nP,82,178205,True,,2024-05-10,https://i.scdn.co/image/ab67616d0000b27397306976e3eb8aad53b754eb,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0
