rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
16,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",306225,1,34,NOR,2024-09-12,3xkHsmpQCBMytMJNiDf3Ii,86,180304,False,,2024-04-05,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,https://i.scdn.co/image/ab6761610000e5ebd2b2a1cea3b6b44f4bae14b2
17,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,286906,12,21,NOR,2024-09-12,0WbMK4wrZ1wFSty9F7FCgu,92,218423,False,,2024-04-05,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee
18,spotify:track:7BPcWZDSRLdMbOybXlspcC,Søte og Rare Gutter,Bærum Bitches (Mannschaft),Søte og Rare´ Records,274029,1,30,NOR,2024-09-12,7BPcWZDSRLdMbOybXlspcC,31,146938,False,russelåter,2024-02-15,https://i.scdn.co/image/ab67616d0000b273710b5d81545bd640fcae27d4,https://i.scdn.co/image/ab6761610000e5eb2806be48bf0e9c6f84155c06
19,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",272798,19,7,NOR,2024-09-12,51rfRCiUSvxXlCSCfIztBy,88,157146,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
20,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,270822,5,51,NOR,2024-09-12,17phhZDn6oGtzMe56NuWvj,89,210688,False,,2023-09-15,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
21,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,266793,12,261,NOR,2024-09-12,3hRV0jL3vUpRrcy398teAU,88,208211,False,,2015-04-06,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583,https://i.scdn.co/image/ab6761610000e5eb0d4d3bb72e9375017fd94f71
22,spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,266476,1,24,NOR,2024-09-12,5Z0UnEtpLDQyYlWwgi8m9C,40,251424,False,,2024-03-22,https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a
23,spotify:track:5AhSDzxi6BgID3J75mTGAc,"Bausa, Amara",Sølvskje,Distortion Label,263716,5,22,NOR,2024-09-12,5AhSDzxi6BgID3J75mTGAc,51,137559,True,russelåter,2024-04-26,https://i.scdn.co/image/ab67616d0000b27320abbf1830e64319dbb8dbd6,https://i.scdn.co/image/ab6761610000e5ebb33b951661d1cfabbaedb85e
24,spotify:track:7uAgfJh0XZWxHYHEf8Y3Ti,Golfklubb,Sucker For Pain,Distortion Label,261799,14,14,NOR,2024-09-12,7uAgfJh0XZWxHYHEf8Y3Ti,54,188067,True,russelåter,2024-06-06,https://i.scdn.co/image/ab67616d0000b273af683b959ea15ad74bcd2a0e,https://i.scdn.co/image/ab6761610000e5ebdda2bff556ef0138efc4d434
25,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,243735,5,18,NOR,2024-09-12,3Vr3zh0r7ALn8VLqCiRR10,86,172533,False,,2024-05-10,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,https://i.scdn.co/image/ab6761610000e5ebb770aab80045c57b562b2de2
26,spotify:track:7MZQoikPpcwneYkKhdRvoe,"VC Barre, Golfklubb, Pablo Paz, takenoelz",SOLDAT - RMX,Universal Music AB,231469,1,30,NOR,2024-09-12,7MZQoikPpcwneYkKhdRvoe,57,139034,False,russelåter,2024-02-16,https://i.scdn.co/image/ab67616d0000b27363edc3338e6e660045f0f35c,https://i.scdn.co/image/ab6761610000e5eb119bbc36d4fe9141d6312af1
27,spotify:track:3LKrHeYXOEKNQQVl9auofC,"DJ MøMø, Kjartan Lauritzen",Badebussen (feat. Kjartan Lauritzen),WM Norway,228528,1,65,NOR,2024-09-12,3LKrHeYXOEKNQQVl9auofC,49,107555,False,russelåter,2023-12-15,https://i.scdn.co/image/ab67616d0000b2733f6f9d83e31afaaa9ec4aef6,https://i.scdn.co/image/ab6761610000e5eb155738e42acb8b9eef1babd9
28,spotify:track:3PzfAzqI03wcX8OikTdrH2,Soppgirobygget,Viva La Vida,Soppgiro inc. In Collaboration With Liso Records,226018,24,26,NOR,2024-09-12,3PzfAzqI03wcX8OikTdrH2,65,147428,False,russelåter,2024-03-15,https://i.scdn.co/image/ab67616d0000b273a768f2d563f8fd5c9b4f06f7,https://i.scdn.co/image/ab6761610000e5eb3a9b761f3e35c851dec05755
29,spotify:track:7IYXHtvFO3qZfe6In07sKE,Tigergutt101,Se på meg,RCA Records Label,223866,5,13,NOR,2024-09-12,7IYXHtvFO3qZfe6In07sKE,56,143759,False,russelåter,2024-06-19,https://i.scdn.co/image/ab67616d0000b2737a3f872c665ac8d7228d8944,https://i.scdn.co/image/ab6761610000e5eb60a189579b8b018de6de1625
30,spotify:track:331l3xABO0HMr1Kkyh2LZq,"David Guetta, OneRepublic",I Don't Wanna Wait,Parlophone UK,222404,19,23,NOR,2024-09-12,331l3xABO0HMr1Kkyh2LZq,84,149667,False,edm,2024-04-05,https://i.scdn.co/image/ab67616d0000b2732f479a6c1825c1f29e0a3d49,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f
31,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,219961,21,14,NOR,2024-09-12,1BJJbSX6muJVF2AK7uH1x4,84,177598,False,afro house,2024-06-07,https://i.scdn.co/image/ab67616d0000b273a959d221820e650bee1ca487,https://i.scdn.co/image/ab6761610000e5eb722acdd4bb9e3aac45436d08
32,spotify:track:4S1VYqwfkLit9mKVY3MXoo,Alphaville,Forever Young,WM Germany,218901,24,9,NOR,2024-09-12,4S1VYqwfkLit9mKVY3MXoo,81,226706,False,synthpop,1984,https://i.scdn.co/image/ab67616d0000b273b9c4979446c4d39bc08e9503,https://i.scdn.co/image/ab6761610000e5eb3f8779bb1c97be855c6b51a8
33,spotify:track:4uzKAj0mIyYmyhsRRyPXaQ,Alex Warren,Carry You Home,Atlantic Records,217318,26,15,NOR,2024-09-12,4uzKAj0mIyYmyhsRRyPXaQ,74,166880,False,,2024-05-31,https://i.scdn.co/image/ab67616d0000b27305efa6dce38504deb91fe687,https://i.scdn.co/image/ab6761610000e5eb16259488e0146d0807b53e62
34,spotify:track:7c9gD7aefFGPnVgZke7raf,"Ane Norum Kvistad, BlimE!",BlimE! - Ferdig Snakka,Triplet Records,216590,27,13,NOR,2024-09-12,7c9gD7aefFGPnVgZke7raf,52,140298,False,,2024-06-14,https://i.scdn.co/image/ab67616d0000b27393b7e3e1b46bd23e3f9ebd46,https://i.scdn.co/image/ab6761610000e5eb67e2920ffa5d32fd789f2439
35,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",212662,7,27,NOR,2024-09-12,0rtDE9zfXbamTlRUSwY7zy,81,148317,False,,2024-08-16,https://i.scdn.co/image/ab67616d0000b273da33127f62acdb0aca585e92,https://i.scdn.co/image/ab6761610000e5ebf09e3fdd6c27c7426c99945a
36,spotify:track:3WOhcATHxK2SLNeP5W3v1v,"Charli xcx, Billie Eilish",Guess featuring billie eilish,Atlantic Records,211233,9,6,NOR,2024-09-12,3WOhcATHxK2SLNeP5W3v1v,81,143330,False,hyperpop,2024-08-01,https://i.scdn.co/image/ab67616d0000b273dca19fcb7a25410224da080b,https://i.scdn.co/image/ab6761610000e5eb936885667ef44c306483c838
37,spotify:track:5kDgJffgJ0lYHTSiaXFWNw,The Kid LAROI,BABY I'M BACK,Columbia,209049,37,3,NOR,2024-09-12,5kDgJffgJ0lYHTSiaXFWNw,78,171243,True,,2024-08-09,https://i.scdn.co/image/ab67616d0000b273127bb9583e9861edbcde38f6,https://i.scdn.co/image/ab6761610000e5ebebf5c408f4d003817161e061
38,spotify:track:1XBYiRV30ykHw5f4wm6qEn,The Kid LAROI,NIGHTS LIKE THIS,Columbia,202367,31,12,NOR,2024-09-12,1XBYiRV30ykHw5f4wm6qEn,87,86983,False,,2023-11-10,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2,https://i.scdn.co/image/ab6761610000e5ebebf5c408f4d003817161e061
39,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,201948,32,17,NOR,2024-09-12,3QaPy1KgI7nu9FJEQUgn6h,92,261466,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
40,spotify:track:0UYnhUfnUj5adChuAXvLUB,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,195762,40,4,NOR,2024-09-12,0UYnhUfnUj5adChuAXvLUB,45,211978,False,,2024-07-26,https://i.scdn.co/image/ab67616d0000b2730f588c6bdb28000656d084bf,https://i.scdn.co/image/ab6761610000e5ebe5ff5495fe99ee0fa0236087
41,spotify:track:4KULAymBBJcPRpk1yO4dOG,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,194121,9,55,NOR,2024-09-12,4KULAymBBJcPRpk1yO4dOG,84,227195,False,country,2023-08-25,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef,https://i.scdn.co/image/ab6761610000e5eb4fd54df35bfcfa0fc9fc2da7
42,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,Michael Marcagi,Scared To Start,Warner Records,193990,14,35,NOR,2024-09-12,3Pbp7cUCx4d3OAkZSCoNvn,81,159636,False,,2024-01-12,https://i.scdn.co/image/ab67616d0000b27351ef67c49732e45cd2b26fbe,https://i.scdn.co/image/ab6761610000e5ebd6925020c5805dc0e3e76b0c
