rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
41,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,42569,6,73,SAU,2025-01-30,42VsgItocQwOQC3XWZ8JNA,86,191700,True,rap,2023-07-28,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
42,spotify:track:67LbXie8VBzItxXG8ma6OG,ميوزك عذاب,راه قلبي يبكي وينوح,ميوزك عذاب,41644,16,8,SAU,2025-01-30,67LbXie8VBzItxXG8ma6OG,41,258622,False,khaleeji,2025-01-24,https://i.scdn.co/image/ab67616d0000b2734ac7fce854cf654f163b27f7,https://i.scdn.co/image/ab67616d0000b2734ac7fce854cf654f163b27f7
43,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,41402,5,9,SAU,2025-01-30,7G7mSV4BebkoHWwKTDvXu9,86,234895,False,k-pop,2024-11-29,https://i.scdn.co/image/ab67616d0000b27316ba2a3622bd0d0d985e3234,https://i.scdn.co/image/ab6761610000e5eb8e7d00d3aae87cf8fc6946e2
44,spotify:track:15mtirqNB6IF1owL0WkIUg,Kstr,حبيبي راح مسرع,MusicDiffusion,41092,12,28,SAU,2025-01-30,15mtirqNB6IF1owL0WkIUg,49,256743,False,khaleeji,2024-01-26,https://i.scdn.co/image/ab67616d0000b27387473c55d3fd57c7023d7a89,https://i.scdn.co/image/ab67616d0000b27387473c55d3fd57c7023d7a89
45,spotify:track:5rc7178sa2YRDlBFBHY0e8,Nafeesisboujee,Stephanie,nafees's bedroom studio,40688,45,2,SAU,2025-01-30,5rc7178sa2YRDlBFBHY0e8,79,126969,True,,2023-09-15,https://i.scdn.co/image/ab67616d0000b2733bda019c02edcbacd8b22417,https://i.scdn.co/image/ab6761610000e5ebf319fb92d3ae29a32373fb60
46,spotify:track:7IVstMaDl2HaByG8JmR2yr,TOKYOPHILE,Montagem Lunar Celestia 1.0 (SLOWED),Tribal Trap,40651,42,9,SAU,2025-01-30,7IVstMaDl2HaByG8JmR2yr,77,96254,False,phonk,2024-10-14,https://i.scdn.co/image/ab67616d0000b273dd9b9fd2bd3c15ab76c0774e,https://i.scdn.co/image/ab6761610000e5ebfbaa13db694fc9bd62bbeb3f
47,spotify:track:5WFEeDclrtcviUwnbpHiiF,Sabah Mahmod,عفتني,Al-Haneen,40352,47,12,SAU,2025-01-30,5WFEeDclrtcviUwnbpHiiF,48,404035,False,khaleeji,2011-06-12,https://i.scdn.co/image/ab67616d0000b27329caa468e671a1c1f5f125a9,https://i.scdn.co/image/ab67616d0000b273ff0d12ba4a289e44c5af0072
48,spotify:track:1FWsomP9StpCcXNWmJk8Cl,Cigarettes After Sex,K.,Partisan Records,40307,28,140,SAU,2025-01-30,1FWsomP9StpCcXNWmJk8Cl,83,320030,False,dream pop,2017-06-09,https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,https://i.scdn.co/image/ab6761610000e5eb0e871e0389b9722cc12a4118
49,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,40196,19,163,SAU,2025-01-30,58ge6dfP91o9oXMzq3XkIS,80,253586,False,indie,2007-04-24,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
50,spotify:track:1aNQ9Nz0gzJXVm6kuXcIbq,"UdieNnx, Mc Gw",ACIDO,0to8,40053,43,7,SAU,2025-01-30,1aNQ9Nz0gzJXVm6kuXcIbq,74,75697,False,phonk,2024-10-31,https://i.scdn.co/image/ab67616d0000b27323940e6c2a660abff3fd6415,https://i.scdn.co/image/ab6761610000e5eb893e95ce5433b86566498b4c
1,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,199947,1,23,SAU,2025-01-23,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
2,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,134345,2,36,SAU,2025-01-23,3QaPy1KgI7nu9FJEQUgn6h,92,261466,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,132733,1,10,SAU,2025-01-23,50zAEIE4B1QqhPjRMK2Xmh,81,151646,False,k-pop,2024-11-19,https://i.scdn.co/image/ab67616d0000b27302dd46d1f82ce19b5927b269,https://i.scdn.co/image/ab6761610000e5eb6d4ee2bb960bc4d9c0a4ce45
4,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,127048,1,36,SAU,2025-01-23,6dOtVTDdiauQNBQEDOtlAB,96,210373,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
5,spotify:track:5okjGjbI5S9GON1fM0delO,Hassan El Rassam,Alak Alak,Sada El Remas,112186,2,15,SAU,2025-01-23,5okjGjbI5S9GON1fM0delO,57,319399,False,khaleeji,2000,https://i.scdn.co/image/ab67616d0000b273d52d6a815b9a9965f8d91f5f,https://i.scdn.co/image/ab67616d0000b273b90a19dbeac8b7b0de8b4bfa
6,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,The Marías,No One Noticed,Nice Life/Atlantic,111501,6,22,SAU,2025-01-23,3siwsiaEoU4Kuuc9WKMUy5,87,236906,False,bedroom pop,2024-05-31,https://i.scdn.co/image/ab67616d0000b2734d070fdf58fad8c54c5beb85,https://i.scdn.co/image/ab6761610000e5ebaf586afa2b397f1288683a76
7,spotify:track:0F2yNZOLXPtIV4k2kQgkjA,Nasrat Al Bader,يا وطن طاهر ترابك,Nasrat AlBadr,106172,6,7,SAU,2025-01-23,0F2yNZOLXPtIV4k2kQgkjA,54,256010,False,khaleeji,2024-08-01,https://i.scdn.co/image/ab67616d0000b273fd43a22733959b380ba02213,https://i.scdn.co/image/ab67616d0000b273fd43a22733959b380ba02213
8,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,102516,1,14,SAU,2025-01-23,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
9,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,93281,4,17,SAU,2025-01-23,1Es7AUAhQvapIcoh3qMKDL,93,256000,True,,2024-09-27,https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
10,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",80073,8,14,SAU,2025-01-23,7ne4VBA60CxGM75vw0EYad,96,166300,True,,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
11,spotify:track:1EvT055LsQlAxPsB5cz1PO,سكول الدوسري - SKOL KSA,وينك وينك غايب عليا وين - سكول الدوسري,جميع الحقوق محفوظة,74505,9,4,SAU,2025-01-23,1EvT055LsQlAxPsB5cz1PO,50,281402,False,,2024-12-21,https://i.scdn.co/image/ab67616d0000b273cbadbec3bffb0025febf833b,https://i.scdn.co/image/ab6761610000e5eb86d04ae78cce656cfe5b169d
12,spotify:track:0Hk9OFVAxB6mxTtLmmFdkT,Ayed,Lammah,Luxury Ksa,72438,3,26,SAU,2025-01-23,0Hk9OFVAxB6mxTtLmmFdkT,58,221224,False,khaleeji,2024-07-25,https://i.scdn.co/image/ab67616d0000b273a411404c0777a89e7af7698f,https://i.scdn.co/image/ab6761610000e5ebd4ac9edbee6609f8dd75b1bc
13,spotify:track:0vGAjG4vLZmyZvnCWKW0WG,Bee Remix,ايباه (ريمكس),Bee Remix,71959,2,30,SAU,2025-01-23,0vGAjG4vLZmyZvnCWKW0WG,55,159168,False,khaleeji,2024-06-11,https://i.scdn.co/image/ab67616d0000b273de055140fe777cf698c7aa95,https://i.scdn.co/image/ab67616d0000b273de055140fe777cf698c7aa95
14,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,68682,12,21,SAU,2025-01-23,2262bWmqomIaJXwCRHr13j,93,211978,False,,2024-07-26,https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53,https://i.scdn.co/image/ab6761610000e5ebe5ff5495fe99ee0fa0236087
15,spotify:track:5e0b9LgOfi3aJSKXFcOWRe,Chezile,Beanie,Chezile / 10K Projects,64784,14,12,SAU,2025-01-23,5e0b9LgOfi3aJSKXFcOWRe,87,132160,False,,2023-11-28,https://i.scdn.co/image/ab67616d0000b273c16d7b73bd1445e941588b73,https://i.scdn.co/image/ab6761610000e5eb305734f8a1106c4b6db15018
16,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,61989,1,41,SAU,2025-01-23,2HRqTpkrJO5ggZyyK6NPWz,88,175459,True,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
