rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
137,"spotify:track:1UTLq40xh63wMrHELGnKWW","Rauw Alejandro, LATIN MAFIA","2:12 AM","Sony Music Latin/Duars Entertainment",137,-1,1,"39979"
138,"spotify:track:5UxEKpzvvLnjoC10XoogN3","Rauw Alejandro","Cosa Nuestra","Sony Music Latin/Duars Entertainment",138,-1,1,"39955"
139,"spotify:track:0vnrhysrKKRdNYFKLAGzRc","KHEA, Duki, Cazzu, Omar Varela, MYKKA","Loca","MUEVA",59,97,33,"39725"
140,"spotify:track:4waqcUQWdj0yH26STWl2Rq","La Oreja de Van Gogh","Rosas","Columbia",34,162,86,"39480"
141,"spotify:track:4jjFjbqCTkaN1mGb0BMYl2","Rauw Alejandro","Amar De Nuevo","Sony Music Latin/Duars Entertainment",141,-1,1,"39330"
142,"spotify:track:0ZS96pPRLyGUViVi5PWCAR","FloyyMenor, Lewis Somes","APAGA EL CEL","FloyyMenor under exclusive license to UnitedMasters LLC",51,133,19,"39240"
143,"spotify:track:4skuEIloXWuxxgekKupkEH","Mon Laferte","Tu Falta De Querer","Universal Music Mexico",84,121,221,"39239"
144,"spotify:track:0u6JsFiEEXb6kaF0oqyeFi","Luck Ra, La K'onga, Ke Personajes","Ya No Vuelvas (Versión Cuarteto)","Sony Music Entertainment Chile S.A",11,119,98,"39084"
145,"spotify:track:4RW3OiTqLpawYVPDrkWlHj","Explosión Cumbiera, Jhonny y Su Agrupación Claros, El Cartel Q'mbiero","Partido En Dos","IBISA Producciones",134,134,8,"39082"
146,"spotify:track:04cd1MHVq1D8v1nuTZoCdv","Piso 21","Puntos Suspensivos","WM Mexico",9,195,193,"38960"
147,"spotify:track:1MGm3zOE0Ql0WWcU5ZvjOx","Xavi","La Diabla","Interscope Records",2,104,49,"38654"
148,"spotify:track:3oNnzH6hmqIGIhJ1NcHlrh","Maria Becerra","CORAZÓN VACÍO","WEA Latina",27,159,66,"38632"
149,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",14,98,138,"38593"
150,"spotify:track:1mSviQV9iQnGSRyvTIuxAj","Alvaro Diaz, Rauw Alejandro","Problemón","UMG Recordings, Inc./Universal Music Latino",24,189,40,"38528"
151,"spotify:track:4SJHHpKhcuXwDsCsPqshXj","Rauw Alejandro, Chencho Corleone","El Efecto","Duars Entertainment, Corp.",23,161,113,"38170"
152,"spotify:track:7eNwwoxDR8KVzNAuGvliAO","Omar Courtz, De La Rose, Haze","Kyoto","House of Haze",80,-1,11,"38165"
153,"spotify:track:1sbNEFiURUYfy024cJX8JG","Feid","Ferxxo 100","UMLE - Latino",22,114,129,"38101"
154,"spotify:track:7sPqCI54XxKNaOoGooaeCp","La Única Tropical","PARTIDO EN DOS","LA UNICA TROPICAL",42,123,19,"38048"
155,"spotify:track:5PycBIeabfvX3n9ILG7Vrv","Romeo Santos","Propuesta Indecente","Sony Music Latin",91,-1,20,"37900"
156,"spotify:track:3E8xyYdIPpiH2wNEozE68I","Standly","Pégate","Standly",95,-1,26,"37873"
157,"spotify:track:0xyWkRMb09qdCDhloehCsi","Rauw Alejandro","Ni Me Conozco","Sony Music Latin/Duars Entertainment",157,-1,1,"37737"
158,"spotify:track:7hynhxDoDpgMIV12JuVtNa","J Balvin, Bad Bunny, Marciano Cantero","UN PESO","Universal Music Latino / Rimas",20,116,282,"37683"
159,"spotify:track:100Tm6z29RfHTdUQ6NIs0s","Julieta Venegas","Me Voy","Ariola",30,145,67,"37343"
160,"spotify:track:0TUW9faHNaBmi89wsYGp9y","Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL","Mamichula - con Nicki Nicole","NEUEN",7,148,93,"37299"
161,"spotify:track:5ZFpEsxK5VlLkJi3v7ar2Y","Plan B","Fanatica Sensual","Pina Records",132,151,27,"37231"
162,"spotify:track:26y2gBrbiFJIOUjIlSQfdH","Duki, Milo j","Vida De Rock","DALE PLAY Records / SSJ Records",52,82,3,"37229"
163,"spotify:track:4FyodeyiGhrnlhU2i116A2","Agrupación EUPHORIA","La gata bajo la lluvia","Soria Records",72,146,47,"37131"
164,"spotify:track:6X6m4xmdFcz31p1h7Qg68c","Tito Double P","EL LOKERON","2024 Double P Records",120,120,5,"37109"
165,"spotify:track:0dDr2LgiACQVkZYJeStWh6","Rauw Alejandro, Mr. Naisgai","Pasaporte","Sony Music Latin/Duars Entertainment",165,-1,1,"37058"
166,"spotify:track:2Ga1FnYssxRlMukIDI0f0y","Lasso","Ojos Marrones","Universal Music Mexico",9,129,89,"36761"
167,"spotify:track:3HqcNJdZ2seoGxhn0wVNDK","KAROL G","PROVENZA","BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",1,117,135,"36557"
168,"spotify:track:5lXKHJ3kYg9aM0TdBgaZBe","Duki","Ameri","DALE PLAY Records / SSJ Records",64,87,3,"36536"
169,"spotify:track:6yLqoieklk9gwabLaUDJ4s","La Factoria, Eddy Lover","Perdóname","PanamaMusic",123,190,14,"36320"
170,"spotify:track:2ItA7kOg5NH6AygzU30sEv","Tony Dize, Plan B","Solos (feat. Plan B)","Pina Records",58,132,76,"36246"
171,"spotify:track:6j5LtifAnuTjTYvml61yFZ","Vicente Fernández","Un Millón de Primaveras","Columbia",68,164,8,"36125"
172,"spotify:track:4YnmQG1fnJR9LnTZtix70T","J Abdiel, De La Rose, Yan Block, iZaak, Jay Wheeler","WYA REMIX RED","SONAR LLC.",60,118,22,"35964"
173,"spotify:track:2RVrdr062uLFxXwIxwdXPH","Piso 21, Paulo Londra","Te Amo","WM Mexico",3,-1,137,"35798"
174,"spotify:track:6I86RF3odBlcuZA9Vfjzeq","Romeo Santos","Eres Mía","Sony Music Latin",78,-1,11,"35784"
175,"spotify:track:5EJ2THuhAapEIeQOtXUQ0x","Maná","Oye Mi Amor","WM Mexico",116,158,8,"35766"
176,"spotify:track:7LABrQFfRYcZUqUwng0Heb","Yandel","Encantadora","Sony Music Latin",116,174,8,"35523"
177,"spotify:track:5pVJ3IlnpIorU44oXizzG5","Boza, ELENA ROSE","Orion","Sony Music Latin",54,140,23,"35503"
178,"spotify:track:1EDPVGbyPKJPeGqATwXZvN","Linkin Park","The Emptiness Machine","Warner Records",39,-1,7,"35310"
179,"spotify:track:5LhI8m7n8xlQmNe3b7Rwis","Natanael Cano, Oscar Maydon","Madonna","WEA Latina",63,130,22,"35304"
180,"spotify:track:4jY5SnGbpH6FdGCqVbhOD4","Yandar & Yostin, Andy Rivera","Te Pintaron Pajaritos","Yandar & Yostin",65,135,66,"35301"
181,"spotify:track:0rNqDh9zWWJVTLS4VfceHP","Feid, Yandel","Brickell","Everything Is Gonna Be Alright, Inc. / La Leyenda, LLC/ Universal Music Latino/Warner",31,122,30,"35265"
182,"spotify:track:3HCcfBsa4TdiC0so0fPnRi","Rauw Alejandro, Alexis y Fido","Baja Pa' Acá","Sony Music Latin/Duars Entertainment",182,-1,1,"35174"
183,"spotify:track:4khWEpnaijN0G1x019Uzdr","Morat","No Se Va","Universal Music Spain S.L.",9,152,130,"35165"
184,"spotify:track:6Pur3hWy6Nzc27ilmsp5HA","Los Enanitos Verdes","Lamento Boliviano","EMI Latin",69,181,262,"35040"
185,"spotify:track:4SW9gHnW8NfKOdqmh0ij45","Bizarrap, Milo j","Fruto","DALE PLAY Records",6,143,46,"35007"
186,"spotify:track:5xSt1wxZobFcLzHrFakv6z","SAIKO","COSAS QUE NO TE DIJE","WM Spain",103,160,49,"34986"
187,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",105,157,114,"34754"
188,"spotify:track:4jn3R3KF5hx2fCiXlj89yE","YSY A, Bhavi, Milo j","FLECHAZO EN EL CENTRO","Ysy A",84,182,24,"34564"
189,"spotify:track:4JtKlgBLKHtRTqixKHrrw8","Grupo Frontera, Romeo Santos","ÁNGEL","Grupo Frontera",61,180,15,"34441"
190,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","Play It Again Sam",98,-1,42,"34424"
191,"spotify:track:2f0Ft2XdvNSMSY5TUlZgEz","Pablo Alborán","Saturno","WM Spain",33,-1,106,"34424"
192,"spotify:track:1FlL8ycld6uVDDyhV7P5FA","Rauw Alejandro","Cúrame","Sony Music Latin/Duars Entertainment",15,-1,79,"34416"
193,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",62,141,31,"34381"
194,"spotify:track:35wvL50xvKpCHEJPxLOLPI","Bad Bunny","Si Estuviésemos Juntos","Rimas Entertainment LLC",46,183,285,"34335"
195,"spotify:track:60u6hcpH5Qm1M3xESdNBrB","Beéle","Frente al Mar","5020 Records",190,200,3,"34298"
196,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",102,-1,24,"34276"
197,"spotify:track:4YntVuBqggRsASIbBoWT3F","The La Planta, Luana","Mil Preguntas","TLP Records",14,154,37,"34186"
198,"spotify:track:69Ej1xrGjOcHvIMtMKxK0G","Don Omar","Dile","UMLE - Machete",46,137,167,"34134"
199,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",53,165,52,"34015"
200,"spotify:track:1p7m9H4H8s0Y7SgRm7j3ED","Andrés Calamaro","Flaca","DRO/EastWest Spain",131,179,98,"33960"
