rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2FAZskT9yRjp2Oow9szJD8","Chrystal, NOTION","The Days - NOTION Remix","Polydor Records",1,1,9,"334067"
2,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",1,2,24,"316964"
3,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,3,15,"298354"
4,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",4,4,10,"290461"
5,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",1,5,15,"248422"
6,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",1,6,10,"226370"
7,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",1,7,37,"218238"
8,"spotify:track:2262bWmqomIaJXwCRHr13j","Gigi Perez","Sailor Song","Gigi Perez PS/ Island",3,8,27,"190533"
9,"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",3,11,42,"179621"
10,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",4,9,75,"179483"
11,"spotify:track:19XpFsce28aByvCC4g89tJ","Hozier","Too Sweet","Rubyworks / Universal-Island Records Ltd",1,12,44,"172502"
12,"spotify:track:3U3hFkMr0Q90pD24EkE3Pr","SZA","BMF","Top Dawg Entertainment/RCA Records",8,10,6,"169581"
13,"spotify:track:2zOmS55knKWSgScYPTNmGQ","Tate McRae","Sports car","RCA Records Label",13,-1,1,"169455"
14,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",5,13,393,"165431"
15,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",2,14,42,"157850"
16,"spotify:track:50zAEIE4B1QqhPjRMK2Xmh","Jin","Running Wild","BIGHIT MUSIC",16,30,3,"156188"
17,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,23,54,"153983"
18,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",4,19,42,"152062"
19,"spotify:track:7HDq8aEtkBeZq7gfzYjW28","GELO","Tweaker","LiAngelo Ball (G3) PS/Def Jam",15,18,4,"150760"
20,"spotify:track:1Es7AUAhQvapIcoh3qMKDL","The Weeknd, Playboi Carti","Timeless (feat. Playboi Carti)","XO / Republic Records",8,22,18,"148990"
21,"spotify:track:5IZXB5IKAD2qlvTPJYDCFB","Post Malone, Morgan Wallen","I Had Some Help (Feat. Morgan Wallen)","Mercury Records / Republic Records",3,17,38,"145384"
22,"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Sabrina Carpenter","Taste","Island Records",2,20,23,"142365"
23,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",14,25,346,"138858"
24,"spotify:track:47NGRxSaEtJznNQ17dFg4c","Maoli","Every Night Every Morning","Awong Entertainment",24,81,45,"137432"
25,"spotify:track:51eSHglvG1RJXtL3qI5trr","Benson Boone","Slow It Down","Night Street Records, Inc./Warner Records Inc.",16,27,45,"133628"
26,"spotify:track:1Cbl3Yq8rHo7hhDQmLQagU","Tyla","PUSH 2 START","FAX Records/Epic",21,28,9,"126829"
27,"spotify:track:1eTaznNW4Xxtx9za2SMTXB","Doechii","DENIAL IS A RIVER","Top Dawg Entertainment/Capitol Records",27,34,4,"126805"
28,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",11,29,37,"125795"
29,"spotify:track:4pftaoQbbheCXSdleWIeDK","Central Cee, 21 Savage","GBP (feat. 21 Savage)","Columbia",29,60,2,"123059"
30,"spotify:track:1KZG1H1OCugGqIRmk1wF9m","Sam Barber, Avery Anna","Indigo (feat. Avery Anna)","Lockeland Springs/Atlantic",27,31,7,"119508"
31,"spotify:track:0aB0v4027ukVziUGwVGYpG","Kendrick Lamar, Lefty Gunplay","tv off (feat. lefty gunplay)","pgLang, under exclusive license to Interscope Records",7,32,10,"119261"
32,"spotify:track:3BntzKsnLf2pc0dsvE3Zav","Teddy Swims","Bad Dreams","Warner Records",32,39,18,"119212"
33,"spotify:track:3dj4wgM3cPeuLwMNHDuBon","Teddy Swims","The Door","Warner Records",28,33,35,"118948"
34,"spotify:track:2fsSR8q2mZyhWV3txRww6w","SHANE WALKER","COASTY GIRL","TEAM MUSIC",34,42,8,"115382"
35,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",2,35,69,"114231"
36,"spotify:track:2uvE4L5ZsYKpv8hbK4TIOt","Leon Thomas","MUTT","EZMNY Records/Motown Records",36,47,4,"112898"
37,"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",22,36,379,"112631"
38,"spotify:track:3fqwjXwUGN6vbzIwvyFMhx","Chris Stapleton","Tennessee Whiskey","Mercury Nashville",31,38,378,"109776"
39,"spotify:track:1mMLMZYXkMueg65jRRWG1l","Luke Combs","When It Rains It Pours","River House Artists/Columbia Nashville",15,15,57,"107333"
40,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",28,46,422,"106736"
41,"spotify:track:2tHwzyyOLoWSFqYNjeVMzj","Sabrina Carpenter","Please Please Please","Island Records",1,41,34,"106727"
42,"spotify:track:3HrHhTWonBqF4mDasi8xvC","Chase & Status, Stormzy","BACKBONE","EMI",6,43,25,"106313"
43,"spotify:track:1Lo0QY9cvc8sUB2vnIOxDT","Luke Combs","Fast Car","River House Artists/Columbia Nashville",10,16,94,"105198"
44,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",4,40,185,"104798"
45,"spotify:track:3Vr3zh0r7ALn8VLqCiRR10","Myles Smith","Stargazing","RCA Records Label",13,48,38,"103185"
46,"spotify:track:6s8WSX1MxNThrot8ThI6fG","Travis Scott","4X4","Cactus Jack / Epic",46,-1,1,"103169"
47,"spotify:track:6jbYpRPTEFl1HFKHk1IC0m","Tyler, The Creator, Lola Young","Like Him (feat. Lola Young)","Columbia",32,59,14,"102230"
48,"spotify:track:5AJ9hqTS2wcFQCELCFRO7A","Tommy Richman","MILLION DOLLAR BABY","PULSE Records",1,45,40,"102174"
49,"spotify:track:3aSWXU6owkZeVhh94XxEWO","SZA, Kendrick Lamar","30 For 30 (with Kendrick Lamar)","Top Dawg Entertainment/RCA Records",49,52,6,"100316"
50,"spotify:track:4g5j7VcONFP64jSNSuLDOK","Hori Shaw","Back In My Arms","Hori Shaw",48,53,23,"99808"
51,"spotify:track:3Tgv4rvWBVwnbmUTlJwzk0","Hozier","Do I Wanna Know? - Live At the BBC","Universal-Island Records Ltd.",32,37,3,"99326"
