rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
29,spotify:track:3wPPWcVuinAU7dXcJXtCID,"Naughty Boy, Sam Smith",La La La,Virgin Records Ltd,170824,23,6,Chrats_BEL🇧🇪,2025-01-30,3wPPWcVuinAU7dXcJXtCID
30,spotify:track:5nPbKG04fhLkIAjcPFaZq7,"HUGEL, Topic, Arash, Daecolm",I Adore You (feat. Daecolm),Virgin,169025,18,27,Chrats_BEL🇧🇪,2025-01-30,5nPbKG04fhLkIAjcPFaZq7
31,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,165724,22,207,Chrats_BEL🇧🇪,2025-01-30,3hRV0jL3vUpRrcy398teAU
32,spotify:track:32cwemsMJdzzsOYjVzfYMS,Helena,Mauvais Garçon,RCA Group,161724,23,11,Chrats_BEL🇧🇪,2025-01-30,32cwemsMJdzzsOYjVzfYMS
33,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",161296,3,46,Chrats_BEL🇧🇪,2025-01-30,0rtDE9zfXbamTlRUSwY7zy
34,spotify:track:1y7dY7Xu4nWM4SK2dEnoAT,"Damso, Kalash",Alpha,Trente-quatre centimes,160156,4,11,Chrats_BEL🇧🇪,2025-01-30,1y7dY7Xu4nWM4SK2dEnoAT
35,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,160002,29,204,Chrats_BEL🇧🇪,2025-01-30,1mea3bSkSGXuIRvnydlB5b
36,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,158305,22,18,Chrats_BEL🇧🇪,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
37,spotify:track:1Mzg6bu3hkCwJKEf7v49MN,SDM,CARTIER SANTOS,Universal Music Division Capitol Music France,156377,1,18,Chrats_BEL🇧🇪,2025-01-30,1Mzg6bu3hkCwJKEf7v49MN
38,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,154472,15,359,Chrats_BEL🇧🇪,2025-01-30,22skzmqfdWrjJylampe0kt
39,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,153701,1,34,Chrats_BEL🇧🇪,2025-01-30,1BJJbSX6muJVF2AK7uH1x4
40,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",151867,14,25,Chrats_BEL🇧🇪,2025-01-30,51rfRCiUSvxXlCSCfIztBy
41,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,149215,9,23,Chrats_BEL🇧🇪,2025-01-30,5G2f63n7IPVPPjfNIGih7Q
42,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,148759,27,3,Chrats_BEL🇧🇪,2025-01-30,2lTm559tuIvatlT1u0JYG2
43,spotify:track:59NraMJsLaMCVtwXTSia8i,"cassö, RAYE, D-Block Europe",Prada,Ministry of Sound Recordings,146967,1,77,Chrats_BEL🇧🇪,2025-01-30,59NraMJsLaMCVtwXTSia8i
44,spotify:track:7ifFhxRIvYbe4IuzIkY2Qi,Bouss,Ça parle mal,Le Grand Carré / Level Up Music,146411,17,21,Chrats_BEL🇧🇪,2025-01-30,7ifFhxRIvYbe4IuzIkY2Qi
45,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,144632,12,35,Chrats_BEL🇧🇪,2025-01-30,0WbMK4wrZ1wFSty9F7FCgu
46,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,142466,46,3,Chrats_BEL🇧🇪,2025-01-30,2FAZskT9yRjp2Oow9szJD8
47,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,140871,15,40,Chrats_BEL🇧🇪,2025-01-30,5fZJQrFKWQLb7FpJXZ1g7K
48,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,136878,32,218,Chrats_BEL🇧🇪,2025-01-30,0cQVqPuHQP4KEwc7ZUQmj6
49,spotify:track:5650jkmPhrqy7sdXQ9O9mL,"Pommelien Thijs, MEAU",Het Midden,Sony Music Entertainment,134888,6,16,Chrats_BEL🇧🇪,2025-01-30,5650jkmPhrqy7sdXQ9O9mL
