rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
32,spotify:track:3BntzKsnLf2pc0dsvE3Zav,Teddy Swims,Bad Dreams,Warner Records,192403,32,20,DNK,2025-01-30,3BntzKsnLf2pc0dsvE3Zav
33,spotify:track:2XxRgaOO73AtKS3bPciDSL,"Benjamin Hav, Ella Augusta",Første dag,Sony Music Entertainment,186207,8,67,DNK,2025-01-30,2XxRgaOO73AtKS3bPciDSL
34,spotify:track:4AsiNZTuFAwk93V9DP7lt7,Zuloo,FEJLFRI,ZULOOVERSE,184616,34,7,DNK,2025-01-30,4AsiNZTuFAwk93V9DP7lt7
35,spotify:track:5O2NovuSaij0nsULxUt8V5,Ella Augusta,Baglæns,The Bank Records,184264,32,41,DNK,2025-01-30,5O2NovuSaij0nsULxUt8V5
36,spotify:track:6vdsc40TnfCdZsWj7GecQV,Mumle,Det Modsatte,Capitol Records,183661,6,60,DNK,2025-01-30,6vdsc40TnfCdZsWj7GecQV
37,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,183544,9,58,DNK,2025-01-30,17phhZDn6oGtzMe56NuWvj
38,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,172572,8,18,DNK,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
39,spotify:track:4pftaoQbbheCXSdleWIeDK,"Central Cee, 21 Savage",GBP (feat. 21 Savage),Columbia,164475,39,2,DNK,2025-01-30,4pftaoQbbheCXSdleWIeDK
40,spotify:track:0tDh78JNlubuGDJfkv8Juk,Dos Santos,Dopamin,WM Denmark,163840,23,50,DNK,2025-01-30,0tDh78JNlubuGDJfkv8Juk
41,spotify:track:2DDTfTNiglWtbbqUsQ1RJt,Lamin,De Her Timer,Universal Music A/S,161548,2,37,DNK,2025-01-30,2DDTfTNiglWtbbqUsQ1RJt
42,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,159874,3,42,DNK,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz
43,spotify:track:1OL1vwKA4R3UFMNr6hUZ4l,MAS,Blomster & Regnvejr,Universal Music A/S,155380,24,2,DNK,2025-01-30,1OL1vwKA4R3UFMNr6hUZ4l
44,spotify:track:5M2lX0ZAYSAzCs1xPPi9BX,"Sexyy Red, Bruno Mars",Fat Juicy & Wet,gamma. / Atlantic Records,146953,44,1,DNK,2025-01-30,5M2lX0ZAYSAzCs1xPPi9BX
45,spotify:track:0rcIh1T4A2EH5TzqXmu63m,"Benny Jamz, Gilli",Booty Up,Universal Music A/S,145844,6,32,DNK,2025-01-30,0rcIh1T4A2EH5TzqXmu63m
46,spotify:track:3wPPWcVuinAU7dXcJXtCID,"Naughty Boy, Sam Smith",La La La,Virgin Records Ltd,144975,34,6,DNK,2025-01-30,3wPPWcVuinAU7dXcJXtCID
47,spotify:track:1eA6vc394WJF2l4lHLqJ2B,"Tobias Rahim, ICEKIID",Dark Room (feat. ICEKIID),Os Der Følger Floden,144084,1,36,DNK,2025-01-30,1eA6vc394WJF2l4lHLqJ2B
48,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,140641,21,21,DNK,2025-01-30,2262bWmqomIaJXwCRHr13j
49,spotify:track:0oCtlIqcU9Y4RzZCfjb4J5,Annika,Tilbage,Universal Music A/S,140240,49,8,DNK,2025-01-30,0oCtlIqcU9Y4RzZCfjb4J5
50,spotify:track:2bFgjHMqGThTzlv6V94V5v,Noah Carter,Har Hørt Dig,Universal Music A/S Distributed Labels,136987,3,16,DNK,2025-01-30,2bFgjHMqGThTzlv6V94V5v
1,spotify:track:5wmH2yEMgerF4bGh87TQZA,"Benjamin Hav, Lukas Graham",Du ligner din mor,Sony Music Entertainment,582479,1,4,DNK,2025-01-23,5wmH2yEMgerF4bGh87TQZA
2,spotify:track:00Ma3dn1eTeuz8LYEpUXQo,"JOSVA, Artigeardit",Lonely (feat. Artigeardit),Sony Music Entertainment,516146,1,3,DNK,2025-01-23,00Ma3dn1eTeuz8LYEpUXQo
3,spotify:track:7px3lmdf4nzNEMt6zaQ5yJ,"Marstein, Annika",SAMMEN,Universal Music AS,486857,1,13,DNK,2025-01-23,7px3lmdf4nzNEMt6zaQ5yJ
4,spotify:track:4GZt2BpQpWhkEAgmfUrQOu,Annika,Luk Mig Ind,Universal Music A/S,443312,3,8,DNK,2025-01-23,4GZt2BpQpWhkEAgmfUrQOu
5,spotify:track:2ZwOtQXG5k1M7gHmTmTMgw,"MAS, Lamin, Kundo",Småting (feat. Lamin & Kundo),Universal Music A/S,422470,5,1,DNK,2025-01-23,2ZwOtQXG5k1M7gHmTmTMgw
6,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,406335,4,23,DNK,2025-01-23,2plbrEY59IikOBgBGLjaoe
7,spotify:track:5TC4trc7XgCCkycbTSTqV2,"MAS, Artigeardit",Bare Vent (feat. Artigeardit),Universal Music A/S,365376,7,1,DNK,2025-01-23,5TC4trc7XgCCkycbTSTqV2
8,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,358794,7,14,DNK,2025-01-23,4wJ5Qq0jBN4ajy7ouZIV1c
