rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
33,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,927239,23,3,FRA,2025-01-30,2lTm559tuIvatlT1u0JYG2
34,spotify:track:15vGti1ooNZFlDUdlLukX6,"Booba, SDM",Dolce Camara,Universal Music Distribution Deal,908244,2,51,FRA,2025-01-30,15vGti1ooNZFlDUdlLukX6
35,spotify:track:6WfnzeciIa1Ta661GY9hue,Ninho,Vrais,Rec. 118 / Mal Luné Music,882422,16,10,FRA,2025-01-30,6WfnzeciIa1Ta661GY9hue
36,spotify:track:0Jh6iWjna1wk5le0Ahn7No,Ninho,La vie qu'on mène,Rec. 118 / Mal Luné Music,880439,3,306,FRA,2025-01-30,0Jh6iWjna1wk5le0Ahn7No
37,spotify:track:01gr5cUIMHKrblkKRkjYlU,Marine,Ma faute,Marine,868707,37,4,FRA,2025-01-30,01gr5cUIMHKrblkKRkjYlU
38,spotify:track:2iEXkEB32esmNExcEyKjKc,Guy2Bezbar,Monaco,Blue Magic Corp,868448,3,28,FRA,2025-01-30,2iEXkEB32esmNExcEyKjKc
39,spotify:track:2lftd3hyoAZ0DdxwyUqBw5,GIMS,Où aller,Play Two,859385,15,19,FRA,2025-01-30,2lftd3hyoAZ0DdxwyUqBw5
40,spotify:track:5496lks6V3fh1mZAB6IAap,"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),Twisted Elegance,847058,13,30,FRA,2025-01-30,5496lks6V3fh1mZAB6IAap
41,spotify:track:6Wpgf0xNuBIUpJF2uH7swL,Booba,92i veyron,Universal Music Distribution Deal,833008,41,22,FRA,2025-01-30,6Wpgf0xNuBIUpJF2uH7swL
42,spotify:track:3bg2qahpZmsg5wV2EMPXIk,"David Guetta, Alphaville, Ava Max",Forever Young,Parlophone UK,832509,40,14,FRA,2025-01-30,3bg2qahpZmsg5wV2EMPXIk
43,spotify:track:1pqKCnjkTBcAX6NyzSDahf,Charlotte Cardin,Feel Good,Parlophone (France),796140,43,3,FRA,2025-01-30,1pqKCnjkTBcAX6NyzSDahf
44,spotify:track:2XzF8Lst0VqUdHHB67lWde,La Chine,NONCHALANT 3,New Jack Record,796123,44,2,FRA,2025-01-30,2XzF8Lst0VqUdHHB67lWde
45,spotify:track:6Qr4ufjYXdEd0KNFd7sJxx,"Jaden Bojsen, David Guetta, Sami Brielle",Let's Go,Spinnin' Records,786995,38,6,FRA,2025-01-30,6Qr4ufjYXdEd0KNFd7sJxx
46,spotify:track:2PWJx5FwMrMVEaTjwYait1,"Favé, Gazo",FLASHBACK,109 Record / Morning Glory Music / Believe,767080,2,72,FRA,2025-01-30,2PWJx5FwMrMVEaTjwYait1
47,spotify:track:0M3oxmcIljJfjIPhpEwcyH,GIMS,OHMA TOKITA,Play Two,754449,15,18,FRA,2025-01-30,0M3oxmcIljJfjIPhpEwcyH
48,spotify:track:2KejCKgm7l3uefW9cFt8cH,"Kavinsky, Angèle, Phoenix",Nightcall,Universal Music Division Virgin Music Distribution Deal,752116,18,19,FRA,2025-01-30,2KejCKgm7l3uefW9cFt8cH
49,spotify:track:5oePa8PlOTPAlRaGs2OZ3A,Ninho,Putana,Rec. 118 / Mal Luné Music,751869,4,207,FRA,2025-01-30,5oePa8PlOTPAlRaGs2OZ3A
50,spotify:track:4szpJnfepp7nzkX4URbXKR,Bouss,Angela,Le Grand Carré / Level Up Music,746537,50,9,FRA,2025-01-30,4szpJnfepp7nzkX4URbXKR
1,spotify:track:1RiCNSkK4AfT1j8ZM4JnVs,GIMS,CIEL,Play Two,2935125,1,13,FRA,2025-01-23,1RiCNSkK4AfT1j8ZM4JnVs
2,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,2881021,2,2,FRA,2025-01-23,3sK8wGT43QFpWrvNQsrQya
3,spotify:track:0qlYaRFGvgR6afy1f4BBwD,Gazo,NANANI NANANA,BSB PROD,2622035,1,8,FRA,2025-01-23,0qlYaRFGvgR6afy1f4BBwD
4,spotify:track:0yyFAbTlOk7DFhh6RSug9S,GIMS,SOIS PAS TIMIDE,Play Two,2228941,1,27,FRA,2025-01-23,0yyFAbTlOk7DFhh6RSug9S
5,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2171206,4,14,FRA,2025-01-23,4wJ5Qq0jBN4ajy7ouZIV1c
6,spotify:track:7dzuYJwwtNnfcptmbD58aJ,Joé Dwèt Filé,4 Kampé,Play Two,2011386,6,13,FRA,2025-01-23,7dzuYJwwtNnfcptmbD58aJ
7,spotify:track:1y7dY7Xu4nWM4SK2dEnoAT,"Damso, Kalash",Alpha,Trente-quatre centimes,1987249,1,10,FRA,2025-01-23,1y7dY7Xu4nWM4SK2dEnoAT
8,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1929608,6,23,FRA,2025-01-23,2plbrEY59IikOBgBGLjaoe
9,spotify:track:1Mzg6bu3hkCwJKEf7v49MN,SDM,CARTIER SANTOS,Universal Music Division Capitol Music France,1910122,1,17,FRA,2025-01-23,1Mzg6bu3hkCwJKEf7v49MN
10,spotify:track:7ifFhxRIvYbe4IuzIkY2Qi,Bouss,Ça parle mal,Le Grand Carré / Level Up Music,1697915,3,21,FRA,2025-01-23,7ifFhxRIvYbe4IuzIkY2Qi
11,spotify:track:6BPcUXYERAahpunmb0AovH,"Arcane, Stromae, Pomme",Ma Meilleure Ennemie (from the series Arcane League of Legends),Riot Games,1670697,1,9,FRA,2025-01-23,6BPcUXYERAahpunmb0AovH
12,spotify:track:4mNttG8qiVh4BKrMUrUhCI,Dr. Yaro,Minimum ça,ELEVA,1650720,5,20,FRA,2025-01-23,4mNttG8qiVh4BKrMUrUhCI
13,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,1619084,13,2,FRA,2025-01-23,5TFD2bmFKGhoCRbX61nXY5
14,spotify:track:5NWpquAje6NyvxD57oXNu6,"GIMS, DYSTINCT",SPIDER,Play Two,1595069,1,37,FRA,2025-01-23,5NWpquAje6NyvxD57oXNu6
15,spotify:track:2UntklImLREdP8pMAzr4c4,"Rim'K, SDM",Run,MB,1387754,15,2,FRA,2025-01-23,2UntklImLREdP8pMAzr4c4
16,spotify:track:5jX61gvbNenSDMldQrbtsU,SDM,POUR ELLE,Universal Music Division Capitol Music France,1353464,1,17,FRA,2025-01-23,5jX61gvbNenSDMldQrbtsU
17,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1255506,17,30,FRA,2025-01-23,6WatFBLVB0x077xWeoVc2k
18,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1254703,13,36,FRA,2025-01-23,6dOtVTDdiauQNBQEDOtlAB
