rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
140,"spotify:track:1aXV8GrmQLvgoFtBPERP7E","Eyedress","Jealous","Lex Records",37,142,91,"15998"
141,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,147,69,"15898"
142,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",15,127,38,"15756"
143,"spotify:track:1lf0H4Ub6Ui38LCHuTEJUm","Nasrat Al Badr","Bosa Lerohak","Chello",143,156,5,"15734"
144,"spotify:track:1pnDvUuAEd6z8bKEsbAjk1","Future, Metro Boomin","We Don't Trust You","Wilburn Holding Co./Boominati/Epic/Republic",45,45,2,"15651"
145,"spotify:track:4SqWKzw0CbA05TGszDgMlc","The Walters","I Love You So","Warner Records",16,137,91,"15622"
146,"spotify:track:1Rweq7vNjK4kZBbGrmxQsl","Ariana Grande","bye","Republic Records",21,98,4,"15608"
147,"spotify:track:7kUljt0NM5sISL3OGNVxYd","Egzod, Maestro Chives, Neoni","Royalty","NCS",66,178,85,"15581"
148,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",2,146,77,"15517"
149,"spotify:track:0X4YYZtZcvqNqYIpMd93IT","my head is empty","i was only temporary","my head is empty",118,133,4,"15511"
150,"spotify:track:0v6wAlWCzHYj1OuJrVuH7J","V","FRI(END)S (Sped Up)","BIGHIT MUSIC",10,79,3,"15478"
151,"spotify:track:7mE7qSqqq7Bv5lm7r7ObMf","Shela","Akhsamna Tandas - Remix","Rock records",33,144,133,"15463"
152,"spotify:track:0hEjvk5rMwLzt9rUcFmZG7","TRASHXRL, Mc Menor Do Alvorada","Sequência da Dz7","broke",38,149,32,"15428"
153,"spotify:track:2xql0pid3EUwW38AsywxhV","The Neighbourhood","Reflections","Columbia",133,-1,40,"15367"
154,"spotify:track:2H2ytI7ompfNmRkI2sq8Uk","Camila Cabello, Playboi Carti","I LUV IT (feat. Playboi Carti)","Geffen/Interscope Records",154,-1,1,"15361"
155,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",30,161,128,"15354"
156,"spotify:track:75c2zaSdDBSX0A8Jyvm4fO","Isabel LaRosa","older","Slumbo Labs/RCA Records",156,-1,1,"15341"
157,"spotify:track:15Fkxa5C3qNgMoLYdHJJ4z","Anar, Polaris","Bero 02","Polaris Records UK",131,153,3,"15315"
158,"spotify:track:6yMGcFkUPJWW7Mwy5pY6GC","Odetari","DICE AND ROLL","Artist Partner Group",158,-1,1,"15289"
159,"spotify:track:0rb7HcBkdMPp04ybHBfX41","xxanteria","BAIXO","25/7 Records LLC.",94,172,25,"15284"
160,"spotify:track:4tKBEzm5jPrV4b1GYZnN2P","Abdul Majeed Abdullah","يا ابن الأوادم","Rotana Music",16,151,64,"15229"
161,"spotify:track:7vtGOauV0Zz8Px5EJYm7d7","Slowboy, NUEKI, Crazy Mano, TOLCHONOV","Life in Rio","Void of Phonk / Aurorian Records / Black 17 Media",90,152,29,"15220"
162,"spotify:track:4njgp1LC4XoUsnF3pN0WXX","V","FRI(END)S (Slowed Down)","BIGHIT MUSIC",11,83,3,"15210"
163,"spotify:track:1zi7xx7UVEFkmKfv06H8x0","Drake, Wizkid, Kyla","One Dance","Cash Money Records/Young Money Ent./Universal Rec.",114,148,46,"15174"
164,"spotify:track:7zwn1eykZtZ5LODrf7c0tS","The Neighbourhood","You Get Me So High","Columbia",141,162,20,"15131"
165,"spotify:track:37vVp2sWHuuIBOSl1NswP6","Isabel LaRosa","i'm yours","Slumbo Labs/RCA Records",87,176,20,"15127"
166,"spotify:track:0QRhtV1MwywpkLTvCdMaWq","G-Eazy","Lady Killers II","G-EAZY",166,-1,1,"15102"
167,"spotify:track:6G3myAs4HemIdtLYhhjGLP","V","FRI(END)S (Instrumental)","BIGHIT MUSIC",8,81,3,"15087"
168,"spotify:track:3bVJS1FUUkx3RmmmOVoeK2","Eternxlkz","ENOUGH!","Eternxlkz",168,185,3,"15016"
169,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",65,129,25,"15004"
170,"spotify:track:1oJTggHzEqSsapyp49RXPm","Mohamed Mahrous","اغاني عراقي حزين | حبنا انتهى وراح خليني ناسيك - بطيئه","Mohamed Mahrous",136,145,8,"14786"
171,"spotify:track:6wsqVwoiVH2kde4k4KKAFU","Travis Scott","I KNOW ?","Cactus Jack/Epic",26,157,36,"14782"
172,"spotify:track:45JYEmfoWSpCA3Paut7YXE","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society",2,180,118,"14765"
173,"spotify:track:0BCPKOYdS2jbQ8iyB56Zns","Coldplay","Clocks","Parlophone Records Limited",171,171,3,"14695"
174,"spotify:track:2Zo1PcszsT9WQ0ANntJbID","Sabrina Carpenter","Feather","Island Records",39,158,18,"14653"
175,"spotify:track:2ogKhhoMClkFXek7ZgxAhN","Camila Cabello","Shameless","Syco Music/Epic",53,-1,63,"14640"
176,"spotify:track:1bjeWoagtHmUKputLVyDxQ","SZA","Saturn","Top Dawg Entertainment/RCA Records",103,182,6,"14630"
177,"spotify:track:1bGCQoaz734Y5jeZ6GiUZ1","DJ NK3, THEUZ ZL","PLANETA DESCONHECIDO","DJ NK3",177,177,3,"14537"
178,"spotify:track:5PyDJG7SQRgWXefgexqIge","Doja Cat","Agora Hills","Kemosabe Records/RCA Records",12,131,28,"14497"
179,"spotify:track:3jjsRKEsF42ccXf8kWR3nu","Mitski","Washing Machine Heart","Dead Oceans",134,186,32,"14448"
180,"spotify:track:3aAnwyBJY9OLNLqSgd4fZU","TOMORROW X TOGETHER","Deja Vu","Republic Records - TXT",180,-1,1,"14407"
