rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
77,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",7,65,193,"33474"
78,"spotify:track:6RodD6CVu4mHQRrQJD8XhP","Tayseer Al Safeer","هذا دمعك","Al Hannen",65,92,73,"33073"
79,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",79,-1,1,"33038"
80,"spotify:track:4jQj2GzSDoaibN5qTrQh0c","TalkinToys","Be My First One","TalkinToys",35,73,20,"33037"
81,"spotify:track:1jKXjxMWlq4BhH6f9GtZbu","Don Toliver","TORE UP","Cactus Jack / Atlantic",81,99,6,"33017"
82,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",8,83,113,"32874"
83,"spotify:track:6MzofobZt2dm0Kf1hTThFz","Addison Rae","Diet Pepsi","Columbia",83,108,6,"32726"
84,"spotify:track:5496lks6V3fh1mZAB6IAap","Sevdaliza, Pabllo Vittar, Yseult","Alibi (with Pabllo Vittar & Yseult)","Twisted Elegance",12,69,16,"32726"
85,"spotify:track:00RLNHc2jkEjUoCUlFgPVT","Dream, Ivory","welcome and goodbye","Dream, Ivory LLC",66,72,14,"32693"
86,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",1,79,186,"31970"
87,"spotify:track:76MX03UUb5cM5xGY551ENk","Aseel Hameem, Ayed","Tari Alzaal","Aseel Hameem",62,86,10,"31790"
88,"spotify:track:62bOmKYxYg7dhrC6gH9vFn","*NSYNC","Bye Bye Bye - From Deadpool and Wolverine Soundtrack","Jive",10,85,13,"31500"
89,"spotify:track:4nVBt6MZDDP6tRVdQTgxJg","One Direction","Story of My Life","Syco Music",89,-1,1,"31444"
90,"spotify:track:0ywKzyhWxFQWGiQyjDBQFw","رعد وميثاق","وين صرتي","Al Haneen",41,68,107,"31012"
91,"spotify:track:7GqWUQv53sNEC7mudubpaq","RELYCT, ARKEA","A-What","EPSILE Records",91,109,2,"30880"
92,"spotify:track:0MaT2MvNM1od7xXvCUW70W","Maha","مغربي صمخه","Brand Music",59,74,19,"30710"
93,"spotify:track:1XBYiRV30ykHw5f4wm6qEn","The Kid LAROI","NIGHTS LIKE THIS","Columbia",68,122,15,"30636"
94,"spotify:track:24WBge8e53iDTeXOtVB02s","PXLWYSE","Eu Sento Gabu!","MNRC Records",94,128,6,"30634"
95,"spotify:track:7o2GWuSxDul6uWcM4yIWH0","Rabea","Khayinah Wama Tansafi","ALPHA Music",95,107,10,"30609"
96,"spotify:track:0OA00aPt3BV10qeMIs3meW","Hanumankind, Kalmi","Big Dawgs","Universal Music India Pvt Ltd.",9,82,13,"30532"
97,"spotify:track:5bjbMxVmG3VMGATqJvQIPv","Abass Ibrahim","Nadeit","Mega Star",96,136,15,"30480"
98,"spotify:track:2f0ICQHa6q8hr5HjeFmDJO","RD12","Se Paciente Funk","0to8",68,106,8,"30392"
99,"spotify:track:42qNWdLKCI41S4uzfamhFM","bôa","Duvet","Nettwerk Music Group",34,95,84,"30349"
100,"spotify:track:0YThXX1dqUpYBLyJNAsF9N","Yeat","If We Being Rëal","Field Trip Recordings/Capitol Records",27,90,29,"29765"
101,"spotify:track:67smGwuPEtA6GAfeweAVNO","Eternxlkz","SLAY!","Eternxlkz",8,78,31,"29754"
102,"spotify:track:5E30LdtzQTGqRvNd7l6kG5","The Neighbourhood","Daddy Issues","Columbia",62,98,171,"29750"
103,"spotify:track:3azJifCSqg9fRij2yKIbWz","Tory Lanez","The Color Violet","One Umbrella Records",21,103,113,"29704"
104,"spotify:track:5dhU0WcnOENynIRG1aKQd9","Ogryzek","AURA","Sketch Music LLC / Ogryzek",52,81,12,"29484"
105,"spotify:track:629DixmZGHc7ILtEntuiWE","Billie Eilish","LUNCH","Darkroom/Interscope Records",6,89,23,"29431"
106,"spotify:track:1qGEGcxFCJ0LhBCBSeZmqO","Angham","هو انت مين","Angham",87,87,7,"29254"
107,"spotify:track:2Heqj9jtxarmecKxycGSWn","Tamer Ashour","هيجيلي موجوع","Tamer Ashour",4,96,41,"29160"
108,"spotify:track:0IBCeL82gQZhzMpFkPrDNK","Nabeel Aladeeb","Khber Fzzni","Hguitara Studio",52,102,35,"29134"
109,"spotify:track:7ov3TDp5D00Rnu5R1viX4w","LISA, ROSALÍA","New Woman (feat. ROSALÍA)","Lloud Co./RCA Records",12,105,10,"29118"
110,"spotify:track:70YTBH8vOGJNMhy6186yFm","Cigarettes After Sex","Heavenly","Partisan Records",45,100,92,"29095"
111,"spotify:track:2hrycoFU1mZw6YPvMcn8yC","Jordan Adetunji","KEHLANI","300 Entertainment",52,111,16,"28886"
112,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",3,120,56,"28772"
113,"spotify:track:2xql0pid3EUwW38AsywxhV","The Neighbourhood","Reflections","Columbia",72,93,61,"28617"
114,"spotify:track:1lOe9qE0vR9zwWQAOk6CoO","Lil Tecca","Ransom","Republic Records",12,101,85,"28605"
115,"spotify:track:7etchTu0yJDGvk55gIQADV","Ariis","FUNK DO BOUNCE","Tribal Trap",115,-1,1,"28603"
116,"spotify:track:7vOmSP2647oNUGGEhWd1cr","LXNGVX","Montagem Mysterious Game","LANGA",11,104,43,"28429"
117,"spotify:track:0UIGmEr4yaWGF1rRoNQKay","ذكرى","الين اليوم","توفيق الدالي",82,177,14,"28149"
118,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",59,110,98,"28139"
119,"spotify:track:3LWVXp636uLT356Rj08Jaz","Jimin","Be Mine","BIGHIT MUSIC",15,114,14,"28087"
120,"spotify:track:4SqWKzw0CbA05TGszDgMlc","The Walters","I Love You So","Warner Records",16,129,120,"28078"
121,"spotify:track:5vCREmODQpdzOmcNOVsN6B","Mckyyy","Roi - Instrumental Slowed","Mckyyy",77,94,11,"27793"
122,"spotify:track:6dBUzqjtbnIa1TwYbyw5CM","TV Girl","Lovers Rock","TV Girl",71,112,90,"27788"
